Meter S/N:," ""0479F14R""",,,,,,,
Sensor, THERMO,,,,,,,
Date, 7/1/2014 4:01:24 PM,,,,,,,
Units, W,,,,,,,
Timestamp, Measurement, Flags (interpreted),,,,,,
0.00032,0.77231425,0,,,,,,
0.0003216,0.770897806,0,,,,,,
0.0003232,0.765940189,0,,,,,,
0.0003248,0.751539528,0,,,,,,
0.0003264,0.746581912,0,,,,,,
0.000328,0.741624296,0,,,,,,
0.0003296,0.727459669,0,,,,,,
0.0003312,0.701255143,0,,,,,,
0.0003328,0.689687371,0,,,,,,
0.0003344,0.673634171,0,,,,,,
0.000336,0.666787922,0,,,,,,
0.0003376,0.672925949,0,,,,,,
0.0003392,0.651915073,0,,,,,,
0.0003408,0.647665679,0,,,,,,
0.0003424,0.634681463,0,,,,,,
0.000344,0.618628263,0,,,,,,
0.0003456,0.638930857,0,,,,,,
0.0003472,0.616975725,0,,,,,,
0.0003488,0.607060492,0,,,,,,
0.0003504,0.600922525,0,,,,,,
0.000352,0.601866782,0,,,,,,
0.0003536,0.581328094,0,,,,,,
0.0003552,0.562678039,0,,,,,,
0.0003568,0.583452821,0,,,,,,
0.0003584,0.571176827,0,,,,,,
0.00036,0.561969817,0,,,,,,
0.0003616,0.562441945,0,,,,,,
0.0003632,0.5570122,0,,,,,,
0.0003648,0.548277378,0,,,,,,
0.0003664,0.559372962,0,,,,,,
0.000368,0.544972301,0,,,,,,
0.0003696,0.544264078,0,,,,,,
0.0003712,0.535529196,0,,,,,,
0.0003728,0.523017168,0,,,,,,
0.0003744,0.53175199,0,,,,,,
0.000376,0.516407013,0,,,,,,
0.0003776,0.522781074,0,,,,,,
0.0003792,0.513810158,0,,,,,,
0.0003808,0.511213303,0,,,,,,
0.0003824,0.504367054,0,,,,,,
0.000384,0.482411921,0,,,,,,
0.0003856,0.489966393,0,,,,,,
0.0003872,0.480995476,0,,,,,,
0.0003888,0.492091089,0,,,,,,
0.0003904,0.478870779,0,,,,,,
0.000392,0.467066944,0,,,,,,
0.0003936,0.467066944,0,,,,,,
0.0003952,0.470372021,0,,,,,,
0.0003968,0.457859933,0,,,,,,
0.0003984,0.473204941,0,,,,,,
0.0004,0.468247324,0,,,,,,
0.0004016,0.456207395,0,,,,,,
0.0004032,0.437793404,0,,,,,,
0.0004048,0.448889017,0,,,,,,
0.0004064,0.438029498,0,,,,,,
0.000408,0.438029498,0,,,,,,
0.0004096,0.435432643,0,,,,,,
0.0004112,0.434488326,0,,,,,,
0.0004128,0.435432643,0,,,,,,
0.0004144,0.419851571,0,,,,,,
0.000416,0.424337029,0,,,,,,
0.0004176,0.414893955,0,,,,,,
0.0004192,0.427406043,0,,,,,,
0.0004208,0.410644561,0,,,,,,
0.0004224,0.414421797,0,,,,,,
0.000424,0.414421797,0,,,,,,
0.0004256,0.398368567,0,,,,,,
0.0004272,0.391522348,0,,,,,,
0.0004288,0.406395197,0,,,,,,
0.0004304,0.407103419,0,,,,,,
0.000432,0.39105019,0,,,,,,
0.0004336,0.372400135,0,,,,,,
0.0004352,0.38302359,0,,,,,,
0.0004368,0.382079273,0,,,,,,
0.0004384,0.383259654,0,,,,,,
0.00044,0.374524832,0,,,,,,
0.0004416,0.389869809,0,,,,,,
0.0004432,0.377357751,0,,,,,,
0.0004448,0.365081757,0,,,,,,
0.0004464,0.367678583,0,,,,,,
0.000448,0.366498202,0,,,,,,
0.0004496,0.369567215,0,,,,,,
0.0004512,0.372164041,0,,,,,,
0.0004528,0.362248838,0,,,,,,
0.0004544,0.363665283,0,,,,,,
0.000456,0.360832363,0,,,,,,
0.0004576,0.346667767,0,,,,,,
0.0004592,0.356582969,0,,,,,,
0.0004608,0.350681067,0,,,,,,
0.0004624,0.343834817,0,,,,,,
0.000464,0.357055128,0,,,,,,
0.0004656,0.34454307,0,,,,,,
0.0004672,0.347848147,0,,,,,,
0.0004688,0.35894376,0,,,,,,
0.0004704,0.342418373,0,,,,,,
0.000472,0.325184762,0,,,,,,
0.0004736,0.301813155,0,,,,,,
0.0004752,0.340765834,0,,,,,,
0.0004768,0.330850601,0,,,,,,
0.0004784,0.328961998,0,,,,,,
0.00048,0.318574607,0,,,,,,
0.0004816,0.321879685,0,,,,,,
0.0004832,0.325420827,0,,,,,,
0.0004848,0.310075849,0,,,,,,
0.0004864,0.311020166,0,,,,,,
0.000488,0.313616991,0,,,,,,
0.0004896,0.308187217,0,,,,,,
0.0004912,0.318338543,0,,,,,,
0.0004928,0.301340997,0,,,,,,
0.0004944,0.305826455,0,,,,,,
0.000496,0.305826455,0,,,,,,
0.0004976,0.303701758,0,,,,,,
0.0004992,0.313144833,0,,,,,,
0.0005008,0.312908769,0,,,,,,
0.0005024,0.296855539,0,,,,,,
0.000504,0.302521378,0,,,,,,
0.0005056,0.307951152,0,,,,,,
0.0005072,0.294494778,0,,,,,,
0.0005088,0.290481478,0,,,,,,
0.0005104,0.282454848,0,,,,,,
0.000512,0.294966936,0,,,,,,
0.0005136,0.289773226,0,,,,,,
0.0005152,0.276552945,0,,,,,,
0.0005168,0.27678901,0,,,,,,
0.0005184,0.288356781,0,,,,,,
0.00052,0.266165555,0,,,,,,
0.0005216,0.259319335,0,,,,,,
0.0005232,0.277497232,0,,,,,,
0.0005248,0.298272014,0,,,,,,
0.0005264,0.27796939,0,,,,,,
0.000528,0.285759926,0,,,,,,
0.0005296,0.286232084,0,,,,,,
0.0005312,0.272539616,0,,,,,,
0.0005328,0.262624413,0,,,,,,
0.0005344,0.259791493,0,,,,,,
0.000536,0.258611083,0,,,,,,
0.0005376,0.266401619,0,,,,,,
0.0005392,0.264985174,0,,,,,,
0.0005408,0.26994279,0,,,,,,
0.0005424,0.249876261,0,,,,,,
0.000544,0.261680096,0,,,,,,
0.0005456,0.262388319,0,,,,,,
0.0005472,0.257902861,0,,,,,,
0.0005488,0.244210407,0,,,,,,
0.0005504,0.279149771,0,,,,,,
0.000552,0.267345935,0,,,,,,
0.0005536,0.257194638,0,,,,,,
0.0005552,0.248459801,0,,,,,,
0.0005568,0.261444032,0,,,,,,
0.0005584,0.249404103,0,,,,,,
0.00056,0.243502185,0,,,,,,
0.0005616,0.256486416,0,,,,,,
0.0005632,0.263096571,0,,,,,,
0.0005648,0.268526316,0,,,,,,
0.0005664,0.239016727,0,,,,,,
