Meter S/N:, None
Sensor, None, None, , 
Date, 3/4/2015 3:56:16 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period, Binary Data
0.0491008, -7.171407E+000, 49100, 0, 0, 0, 2a7ce5c0 0000 ccbf0000 
0.0496128, -7.170708E+000, 49612, 0, 0, 0, 7176e5c0 0000 ccc10000 
0.0501248, -7.168899E+000, 50124, 0, 0, 0, 9e67e5c0 0000 ccc30000 
0.0506368, -7.170899E+000, 50636, 0, 0, 0, 0178e5c0 0000 ccc50000 
0.0511488, -7.146894E+000, 51148, 0, 0, 0, 5cb3e4c0 0000 ccc70000 
0.0516608, -7.163850E+000, 51660, 0, 0, 0, 423ee5c0 0000 ccc90000 
0.0521728, -7.168390E+000, 52172, 0, 0, 0, 7463e5c0 0000 cccb0000 
0.0526848, -7.162707E+000, 52684, 0, 0, 0, e534e5c0 0000 cccd0000 
0.0531968, -7.161723E+000, 53196, 0, 0, 0, d52ce5c0 0000 cccf0000 
0.0537088, -7.181440E+000, 53708, 0, 0, 0, 5ccee5c0 0000 ccd10000 
0.0542208, -7.175693E+000, 54220, 0, 0, 0, 479fe5c0 0000 ccd30000 
0.0547328, -7.165088E+000, 54732, 0, 0, 0, 6748e5c0 0000 ccd50000 
0.0552448, -7.170423E+000, 55244, 0, 0, 0, 1a74e5c0 0000 ccd70000 
0.0557568, -7.157309E+000, 55756, 0, 0, 0, ad08e5c0 0000 ccd90000 
0.0562688, -7.167311E+000, 56268, 0, 0, 0, 9c5ae5c0 0000 ccdb0000 
0.0567808, -7.166041E+000, 56780, 0, 0, 0, 3550e5c0 0000 ccdd0000 
0.0572928, -7.163183E+000, 57292, 0, 0, 0, cc38e5c0 0000 ccdf0000 
0.0578048, -7.165057E+000, 57804, 0, 0, 0, 2548e5c0 0000 cce10000 
0.0583168, -7.173566E+000, 58316, 0, 0, 0, da8de5c0 0000 cce30000 
0.0588288, -7.163405E+000, 58828, 0, 0, 0, 9e3ae5c0 0000 cce50000 
0.0593408, -7.166327E+000, 59340, 0, 0, 0, 8c52e5c0 0000 cce70000 
0.0598528, -7.178964E+000, 59852, 0, 0, 0, 12bae5c0 0000 cce90000 
0.0603648, -7.160580E+000, 60364, 0, 0, 0, 7823e5c0 0000 cceb0000 
0.0608768, -7.186902E+000, 60876, 0, 0, 0, 19fbe5c0 0000 cced0000 
0.0613888, -7.174677E+000, 61388, 0, 0, 0, f596e5c0 0000 ccef0000 
0.0619008, -7.172201E+000, 61900, 0, 0, 0, ab82e5c0 0000 ccf10000 
0.0624128, -7.171439E+000, 62412, 0, 0, 0, 6d7ce5c0 0000 ccf30000 
0.0629248, -7.175185E+000, 62924, 0, 0, 0, 1e9be5c0 0000 ccf50000 
0.0634368, -7.172042E+000, 63436, 0, 0, 0, 5e81e5c0 0000 ccf70000 
0.0639488, -7.170454E+000, 63948, 0, 0, 0, 5c74e5c0 0000 ccf90000 
0.0644608, -7.180265E+000, 64460, 0, 0, 0, bcc4e5c0 0000 ccfb0000 
0.0649728, -7.169724E+000, 64972, 0, 0, 0, 616ee5c0 0000 ccfd0000 
0.0654848, -7.187378E+000, 65484, 0, 0, 0, 00ffe5c0 0000 ccff0000 
0.0659968, -7.171248E+000, 65996, 0, 0, 0, dd7ae5c0 0000 cc010100 
0.0665088, -7.187060E+000, 66508, 0, 0, 0, 66fce5c0 0000 cc030100 
0.0670208, -7.186552E+000, 67020, 0, 0, 0, 3cf8e5c0 0000 cc050100 
0.0675328, -7.182139E+000, 67532, 0, 0, 0, 15d4e5c0 0000 cc070100 
0.0680448, -7.178138E+000, 68044, 0, 0, 0, 4fb3e5c0 0000 cc090100 
0.0685568, -7.173058E+000, 68556, 0, 0, 0, b189e5c0 0000 cc0b0100 
0.0690688, -7.176773E+000, 69068, 0, 0, 0, 1fa8e5c0 0000 cc0d0100 
0.0695808, -7.167025E+000, 69580, 0, 0, 0, 4558e5c0 0000 cc0f0100 
0.0700928, -7.170518E+000, 70092, 0, 0, 0, e274e5c0 0000 cc110100 
0.0706048, -7.174328E+000, 70604, 0, 0, 0, 1894e5c0 0000 cc130100 
0.0711168, -7.162707E+000, 71116, 0, 0, 0, e534e5c0 0000 cc150100 
0.0716288, -7.182679E+000, 71628, 0, 0, 0, 81d8e5c0 0000 cc170100 
0.0721408, -7.177535E+000, 72140, 0, 0, 0, 5daee5c0 0000 cc190100 
0.0726528, -7.178202E+000, 72652, 0, 0, 0, d4b3e5c0 0000 cc1b0100 
0.0731648, -7.175344E+000, 73164, 0, 0, 0, 6b9ce5c0 0000 cc1d0100 
0.0736768, -7.179789E+000, 73676, 0, 0, 0, d5c0e5c0 0000 cc1f0100 
0.0741888, -7.183123E+000, 74188, 0, 0, 0, 25dce5c0 0000 cc210100 
0.0747008, -7.166581E+000, 74700, 0, 0, 0, a154e5c0 0000 cc230100 
0.0752128, -7.182520E+000, 75212, 0, 0, 0, 34d7e5c0 0000 cc250100 
0.0757248, -7.176233E+000, 75724, 0, 0, 0, b3a3e5c0 0000 cc270100 
0.0762368, -7.175725E+000, 76236, 0, 0, 0, 8a9fe5c0 0000 cc290100 
0.0767488, -7.180583E+000, 76748, 0, 0, 0, 56c7e5c0 0000 cc2b0100 
