Meter S/N:," ""REV-DA_7""",,,,,,
Sensor, THERMO,QUAD, x1,,,,
Date, 10/20/2014 6:39:05 PM,,,,,,
Units, W,,,,,,
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
12.6,0.052299827,2.1179986,0.662344515,12600000,0,0,0
12.7,0.051789418,1.563069463,0.779980958,12700000,0,0,0
12.8,0.050843354,2.300851107,0.347590446,12800000,0,0,0
12.9,0.048096672,2.445641041,0.237385496,12900000,0,0,0
13,0.050053388,1.997949958,0.760797203,13000000,0,0,0
13.1,0.046046119,1.703423738,1.05727756,13100000,0,0,0
13.2,0.045122739,1.450391769,2.166638136,13200010,0,0,0
13.3,0.045683566,1.074341774,1.706807852,13300000,0,0,0
13.4,0.044512838,1.529256582,1.174418926,13400000,0,0,0
13.5,0.042466089,1.568254828,1.216997266,13500000,0,0,0
13.6,0.040280249,1.506056905,1.644867182,13600000,0,0,0
13.7,0.040654659,2.198746204,1.230780959,13700000,0,0,0
13.8,0.035339627,1.567126393,1.038583636,13800000,0,0,0
13.9,0.039655656,1.720473051,0.241429493,13900000,0,0,0
14,0.040715966,1.288242817,1.769342542,14000000,0,0,0
14.1,0.03957713,1.714422464,0.722344041,14100000,0,0,0
14.2,0.037302099,1.64473331,1.335782886,14200000,0,0,0
14.3,0.035665125,1.455839515,0.921188712,14300000,0,0,0
14.4,0.036630917,2.006424427,1.057819843,14400000,0,0,0
14.5,0.035195101,1.288306355,1.548652649,14500000,0,0,0
