Meter S/N: Not_Serialized,,,
Sensor S/N: x1
SUN JUN  9 16:47:37 2013,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)
+1.3424559E-01, +6.6, -2.7,         0
+1.4215066E-01, +6.5, -2.3,         0
+1.2630217E-01, +6.4, -2.0,         0
+1.3411149E-01, +6.9, -2.0,         0
+1.3079704E-01, +6.8, -2.0,         0
+1.2696356E-01, +6.5, -2.5,         0
+1.2114282E-01, +7.0, -2.0,         0
+1.4047363E-01, +6.7, -2.7,         0
+1.3284624E-01, +6.4, -2.3,         0
+1.2276598E-01, +6.7, -2.4,         0
+1.3682202E-01, +6.6, -2.2,         0
+1.2412166E-01, +6.4, -2.6,         0
+1.2711698E-01, +6.9, -3.1,         0
+1.2476398E-01, +7.0, -2.3,         0
+1.2720041E-01, +7.2, -2.3,         0
+1.3957602E-01, +6.6, -3.0,         0
+1.1015787E-01, +6.6, -3.0,         0
+1.2346803E-01, +6.6, -2.9,         0
+1.3806328E-01, +6.9, -2.6,         0
+1.4003806E-01, +7.4, -2.4,         0
+1.3854101E-01, +6.7, -2.9,         0
+1.2695129E-01, +7.6, -2.4,         0
+1.4271621E-01, +7.3, -2.4,         0
+1.3763893E-01, +7.8, -2.0,         0
+1.3562495E-01, +7.8, -1.7,         0
+1.2958986E-01, +7.4, -2.3,         0
+1.3387279E-01, +7.2, -2.3,         0
+1.2868087E-01, +7.4, -2.0,         0
+1.3192505E-01, +7.5, -1.9,         0
+1.2779759E-01, +7.7, -1.9,         0
+1.2316053E-01, +7.4, -2.7,         0
+1.3721949E-01, +7.4, -2.2,         0
+1.3116595E-01, +7.8, -1.9,         0
+1.3120644E-01, +7.1, -1.7,         0
+1.3096763E-01, +8.1, -1.5,         0
+1.3132721E-01, +7.7, -1.8,         0
+1.3156618E-01, +7.6, -1.8,         0
+1.2572704E-01, +7.5, -1.1,         0
+1.2656812E-01, +7.6, -2.0,         0
+1.2465943E-01, +7.9, -1.5,         0
+1.2955858E-01, +8.6, -1.4,         0
+1.4192569E-01, +8.5, -1.7,         0
+1.4013730E-01, +8.3, -1.7,         0
+1.5409316E-01, +8.1, -1.8,         0
+1.4178367E-01, +8.5, -1.4,         0
+1.5567538E-01, +8.7, -1.8,         0
+1.5801990E-01, +9.5, -2.3,         0
+1.5795495E-01, +9.6, -2.0,         0
+1.5235338E-01, +9.2, -1.7,         0
+1.4008480E-01, +9.5, -2.3,         0
+1.3803172E-01, +9.4, -1.7,         0
+1.2685543E-01, +9.4, -2.1,         0
+1.2970568E-01, +9.8, -2.2,         0
+1.3781373E-01, +9.3, -1.7,         0
+1.1729205E-01, +9.6, -1.8,         0
+1.4948232E-01, +9.5, -2.4,         0
+1.2839657E-01,+10.0, -2.5,         0
+1.3243331E-01,+10.2, -2.4,         0
+1.1245557E-01,+10.3, -2.4,         0
+1.4201722E-01, +9.0, -2.5,         0
+1.2017731E-01, +9.9, -2.5,         0
+1.1933727E-01, +9.8, -1.9,         0
+1.4275405E-01, +9.8, -2.1,         0
+1.2031611E-01,+10.3, -1.8,         0
+1.2494962E-01,+10.3, -2.2,         0
+1.4814278E-01,+10.1, -1.7,         0
+1.4213385E-01,+10.3, -2.1,         0
+1.2990648E-01, +9.5, -2.6,         0
+1.1708779E-01,+10.2, -2.0,         0
+1.0960986E-01,+10.3, -2.5,         0
+1.2721454E-01,+10.2, -2.6,         0
+1.1228270E-01,+10.3, -2.7,         0
+1.2027278E-01, +9.8, -2.1,         0
+1.1421323E-01, +9.8, -2.4,         0
+1.2701170E-01, +9.3, -1.8,         0
+1.3035020E-01, +9.8, -1.9,         0
+1.1630827E-01, +9.8, -3.3,         0
+1.3021265E-01,+10.1, -2.5,         0
+1.0331526E-01,+10.1, -2.4,         0
+1.1902892E-01, +9.3, -2.4,         0
+1.0911746E-01, +9.0, -1.9,         0
+1.0441592E-01, +9.6, -3.0,         0
+8.3815247E-02, +9.6, -2.4,         0
+1.0372517E-01, +9.3, -2.0,         0
+9.9946938E-02, +9.3, -2.0,         0
+1.1360639E-01, +9.5, -2.3,         0
+1.2474288E-01, +9.9, -3.1,         0
+1.1848553E-01, +9.5, -2.6,         0
+1.0677882E-01, +9.6, -3.0,         0
+1.1598771E-01, +9.4, -2.1,         0
+1.2144171E-01, +9.8, -2.5,         0
+1.1923617E-01, +9.2, -3.4,         0
+1.1828087E-01, +9.5, -3.2,         0
+1.1994636E-01, +9.7, -2.9,         0
+1.1918832E-01, +9.7, -3.1,         0
+1.2553741E-01, +8.9, -2.9,         0
+1.2842524E-01, +8.7, -2.7,         0
+1.2234621E-01, +9.3, -2.6,         0
+1.1373001E-01,+10.3, -3.5,         0
+1.2648959E-01, +9.9, -2.7,         0
+1.2203161E-01, +9.6, -3.0,         0
+1.2727191E-01, +9.0, -3.8,         0
+1.1548428E-01, +9.5, -3.5,         0
+1.2235602E-01, +8.7, -2.8,         0
+1.2221884E-01, +9.3, -3.0,         0
+1.0945497E-01, +9.3, -2.9,         0
+1.1892068E-01, +9.3, -3.7,         0
+1.0967267E-01, +8.7, -3.1,         0
+1.0954437E-01, +8.9, -3.4,         0
+1.1805484E-01, +8.1, -3.9,         0
+1.2504512E-01, +8.1, -4.8,         0
+1.2061178E-01, +7.3, -5.6,         0
+1.1820416E-01, +7.1, -5.1,         0
+1.0635722E-01, +5.8, -4.9,         0
+9.3847111E-02, +5.6, -5.7,         0
+7.1081266E-02, +5.3, -4.8,         0
+9.0439558E-02, +5.0, -5.0,         0
+1.1014962E-01, +5.7, -5.7,         0
+1.2442929E-01, +5.8, -5.1,         0
+1.1433268E-01, +6.0, -6.1,         0
+1.2319619E-01, +6.1, -5.5,         0
+1.1621738E-01, +6.1, -5.6,         0
+1.2382562E-01, +5.6, -5.9,         0
+1.1036693E-01, +5.6, -6.9,         0
+1.0977207E-01, +5.7, -6.2,         0
+1.2653926E-01, +4.8, -6.2,         0
+1.1885750E-01, +5.4, -6.4,         0
+1.1268658E-01, +5.3, -6.1,         0
+1.0624491E-01, +5.8, -6.0,         0
+9.9167123E-02, +6.2, -5.6,         0
+1.0928101E-01, +6.0, -5.4,         0
+1.0636035E-01, +6.7, -4.9,         0
+1.2236835E-01, +6.4, -4.9,         0
+1.2120355E-01, +6.1, -5.6,         0
+1.2379136E-01, +5.9, -4.9,         0
+1.0393997E-01, +5.7, -5.3,         0
+1.2119054E-01, +5.5, -5.3,         0
+1.3510242E-01, +5.7, -5.0,         0
+1.4664868E-01, +6.4, -4.7,         0
+1.4195848E-01, +6.7, -4.3,         0
+1.2767227E-01, +6.7, -4.8,         0
+1.3882394E-01, +7.1, -4.0,         0
+1.2200443E-01, +7.4, -4.0,         0
+1.2864189E-01, +6.7, -4.6,         0
+1.2287264E-01, +6.8, -4.6,         0
+1.1185634E-01, +6.4, -4.8,         0
+1.1163019E-01, +5.6, -5.1,         0
+1.0950229E-01, +5.1, -5.5,         0
+1.2414971E-01, +4.1, -5.5,         0
+1.3726270E-01, +4.3, -6.0,         0
+1.4571944E-01, +5.9, -4.9,         0
+1.2173412E-01, +6.2, -3.9,         0
+1.0345305E-01, +7.0, -2.8,         0
+1.0047234E-01, +7.7, -2.3,         0
+9.5455565E-02, +7.5, -2.4,         0
+8.8873841E-02, +7.2, -2.1,         0
+8.0035761E-02, +7.2, -1.4,         0
+6.7628883E-02, +5.4, -1.4,         0
+4.5607135E-02, +5.0, -1.4,         0
+4.2258237E-02, +4.1, -0.8,         0
+4.4113040E-02, +4.0, -0.9,         0
