Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/12/2014 5:32:06 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0070000, 16.7273292541504, 7168, 0, 0, "92d18541 0000 001c0000"
0.0070500, 16.7256927490234, 7219, 0, 0, "38ce8541 0000 331c0000"
0.0071000, 16.7302799224854, 7270, 0, 0, "9dd78541 0000 661c0000"
0.0071500, 16.731258392334, 7321, 0, 0, "9ed98541 0000 991c0000"
0.0072000, 16.727237701416, 7373, 0, 0, "62d18541 0000 cd1c0000"
0.0072500, 16.7234058380127, 7424, 0, 0, "89c98541 0000 001d0000"
0.0073000, 16.7294178009033, 7475, 0, 0, "d9d58541 0000 331d0000"
0.0073500, 18.758451461792, 7526, 0, 0, "4f119641 0000 661d0000"
0.0074000, 42.3500442504883, 7577, 1, TriggerDetected, "72662942 0100 991d0000"
0.0074500, 42.3609962463379, 7629, 0, 0, "a9712942 0000 cd1d0000"
0.0075000, 42.3693428039551, 7680, 0, 0, "357a2942 0000 001e0000"
0.0075500, 38.6873741149902, 7731, 0, 0, "dfbf1a42 0000 331e0000"
0.0076000, 16.7492446899414, 7782, 0, 0, "74fe8541 0000 661e0000"
0.0076500, 16.7327156066895, 7833, 0, 0, "9adc8541 0000 991e0000"
0.0077000, 16.7311382293701, 7885, 0, 0, "5fd98541 0000 cd1e0000"
0.0077500, 16.7257957458496, 7936, 0, 0, "6ece8541 0000 001f0000"
0.0078000, 16.7319221496582, 7987, 0, 0, "fada8541 0000 331f0000"
0.0078500, 16.7307605743408, 8038, 0, 0, "99d88541 0000 661f0000"
0.0079000, 16.7284908294678, 8089, 0, 0, "f3d38541 0000 991f0000"
0.0079500, 16.7240428924561, 8141, 0, 0, "d7ca8541 0000 cd1f0000"
0.0080000, 16.7299118041992, 8192, 0, 0, "dcd68541 0000 00200000"
0.0080500, 16.7288036346436, 8243, 0, 0, "97d48541 0000 33200000"
0.0081000, 16.728630065918, 8294, 0, 0, "3cd48541 0000 66200000"
0.0081500, 16.7270946502686, 8345, 0, 0, "17d18541 0000 99200000"
0.0082000, 16.724308013916, 8397, 0, 0, "62cb8541 0000 cd200000"
0.0082500, 16.7282333374023, 8448, 0, 0, "6cd38541 0000 00210000"
0.0083000, 16.7320976257324, 8499, 0, 0, "56db8541 0000 33210000"
0.0083500, 30.7440967559814, 8550, 1, TriggerDetected, "e9f3f541 0100 66210000"
0.0084000, 42.3594017028809, 8601, 0, 0, "07702942 0000 99210000"
0.0084500, 42.3680038452148, 8653, 0, 0, "d6782942 0000 cd210000"
0.0085000, 42.3755035400391, 8704, 0, 0, "84802942 0000 00220000"
0.0085500, 26.7294940948486, 8755, 0, 0, "01d6d541 0000 33220000"
0.0086000, 16.7375431060791, 8806, 0, 0, "7de68541 0000 66220000"
0.0086500, 16.7309951782227, 8857, 0, 0, "14d98541 0000 99220000"
0.0087000, 16.7324447631836, 8909, 0, 0, "0cdc8541 0000 cd220000"
0.0087500, 16.7305202484131, 8960, 0, 0, "1bd88541 0000 00230000"
0.0088000, 16.7288513183594, 9011, 0, 0, "b0d48541 0000 33230000"
0.0088500, 16.7284545898438, 9062, 0, 0, "e0d38541 0000 66230000"
0.0089000, 16.7304592132568, 9113, 0, 0, "fbd78541 0000 99230000"
0.0089500, 16.729284286499, 9165, 0, 0, "93d58541 0000 cd230000"
0.0090000, 16.7303447723389, 9216, 0, 0, "bfd78541 0000 00240000"
0.0090500, 16.730037689209, 9267, 0, 0, "1ed78541 0000 33240000"
0.0091000, 16.7298526763916, 9318, 0, 0, "bdd68541 0000 66240000"
0.0091500, 16.7290382385254, 9369, 0, 0, "12d58541 0000 99240000"
0.0092000, 16.728178024292, 9421, 0, 0, "4fd38541 0000 cd240000"
0.0092500, 16.7259273529053, 9472, 0, 0, "b3ce8541 0000 00250000"
0.0093000, 17.1433391571045, 9523, 0, 0, "8f258941 0000 33250000"
0.0093500, 42.3484687805176, 9574, 1, TriggerDetected, "d5642942 0100 66250000"
0.0094000, 42.3662071228027, 9625, 0, 0, "ff762942 0000 99250000"
0.0094500, 42.3704299926758, 9677, 0, 0, "527b2942 0000 cd250000"
0.0095000, 40.361644744873, 9728, 0, 0, "53722142 0000 00260000"
0.0095500, 16.7489433288574, 9779, 0, 0, "d6fd8541 0000 33260000"
0.0096000, 16.7340412139893, 9830, 0, 0, "51df8541 0000 66260000"
0.0096500, 16.7288398742676, 9881, 0, 0, "aad48541 0000 99260000"
0.0097000, 16.7343902587891, 9933, 0, 0, "08e08541 0000 cd260000"
0.0097500, 16.7308559417725, 9984, 0, 0, "cbd88541 0000 00270000"
0.0098000, 16.731746673584, 10035, 0, 0, "9eda8541 0000 33270000"
0.0098500, 16.7277278900146, 10086, 0, 0, "63d28541 0000 66270000"
0.0099000, 16.7299900054932, 10137, 0, 0, "05d78541 0000 99270000"
0.0099500, 16.7298221588135, 10189, 0, 0, "add68541 0000 cd270000"
0.0100000, 16.7258491516113, 10240, 0, 0, "8ace8541 0000 00280000"
0.0100500, 16.726131439209, 10291, 0, 0, "1ecf8541 0000 33280000"
0.0101000, 16.7305679321289, 10342, 0, 0, "34d88541 0000 66280000"
0.0101500, 16.7287445068359, 10393, 0, 0, "78d48541 0000 99280000"
0.0102000, 16.7341194152832, 10445, 0, 0, "7adf8541 0000 cd280000"
0.0102500, 16.7295017242432, 10496, 0, 0, "05d68541 0000 00290000"
0.0103000, 29.0726070404053, 10547, 0, 0, "b394e841 0000 33290000"
0.0103500, 42.3586502075195, 10598, 1, TriggerDetected, "426f2942 0100 66290000"
0.0104000, 42.3694152832031, 10649, 0, 0, "487a2942 0000 99290000"
0.0104500, 42.3684120178223, 10701, 0, 0, "41792942 0000 cd290000"
0.0105000, 28.2794418334961, 10752, 0, 0, "4c3ce241 0000 002a0000"
0.0105500, 16.7402935028076, 10803, 0, 0, "1fec8541 0000 332a0000"
0.0106000, 16.7348461151123, 10854, 0, 0, "f7e08541 0000 662a0000"
0.0106500, 16.7288932800293, 10905, 0, 0, "c6d48541 0000 992a0000"
0.0107000, 16.731409072876, 10957, 0, 0, "edd98541 0000 cd2a0000"
0.0107500, 16.7287673950195, 11008, 0, 0, "84d48541 0000 002b0000"
0.0108000, 16.7256031036377, 11059, 0, 0, "09ce8541 0000 332b0000"
0.0108500, 16.733865737915, 11110, 0, 0, "f5de8541 0000 662b0000"
0.0109000, 16.731632232666, 11161, 0, 0, "62da8541 0000 992b0000"
0.0109500, 16.7307720184326, 11213, 0, 0, "9fd88541 0000 cd2b0000"
0.0110000, 16.7281608581543, 11264, 0, 0, "46d38541 0000 002c0000"
0.0110500, 16.7330780029297, 11315, 0, 0, "58dd8541 0000 332c0000"
0.0111000, 16.7261028289795, 11366, 0, 0, "0fcf8541 0000 662c0000"
0.0111500, 16.726016998291, 11417, 0, 0, "e2ce8541 0000 992c0000"
0.0112000, 16.7278060913086, 11469, 0, 0, "8cd28541 0000 cd2c0000"
0.0112500, 16.73268699646, 11520, 0, 0, "8bdc8541 0000 002d0000"
0.0113000, 41.1188850402832, 11571, 1, TriggerDetected, "bd792442 0100 332d0000"
0.0113500, 42.3671073913574, 11622, 0, 0, "eb772942 0000 662d0000"
0.0114000, 42.3657379150391, 11673, 0, 0, "84762942 0000 992d0000"
0.0114500, 41.9450073242188, 11725, 0, 0, "b0c72742 0000 cd2d0000"
0.0115000, 16.7498989105225, 11776, 0, 0, "cbff8541 0000 002e0000"
0.0115500, 16.734245300293, 11827, 0, 0, "bcdf8541 0000 332e0000"
0.0116000, 16.7284679412842, 11878, 0, 0, "e7d38541 0000 662e0000"
0.0116500, 16.7348823547363, 11929, 0, 0, "0ae18541 0000 992e0000"
0.0117000, 16.7315235137939, 11981, 0, 0, "29da8541 0000 cd2e0000"
0.0117500, 16.7301235198975, 12032, 0, 0, "4bd78541 0000 002f0000"
0.0118000, 16.7288932800293, 12083, 0, 0, "c6d48541 0000 332f0000"
0.0118500, 16.7262516021729, 12134, 0, 0, "5dcf8541 0000 662f0000"
0.0119000, 16.723331451416, 12185, 0, 0, "62c98541 0000 992f0000"
0.0119500, 16.7265701293945, 12237, 0, 0, "04d08541 0000 cd2f0000"
0.0120000, 16.7250347137451, 12288, 0, 0, "dfcc8541 0000 00300000"
0.0120500, 16.7301044464111, 12339, 0, 0, "41d78541 0000 33300000"
0.0121000, 16.7275695800781, 12390, 0, 0, "10d28541 0000 66300000"
0.0121500, 16.7253303527832, 12441, 0, 0, "7acd8541 0000 99300000"
0.0122000, 16.7248916625977, 12493, 0, 0, "94cc8541 0000 cd300000"
