Meter S/N:, "0632B14R"
Sensor, THERMO,SINGLE, ENB065
Date, 8/1/2014 2:11:13 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period, Binary Data
0.0003152, 13.6403636932373, 197, 0, 0, 0, ee3e5a41 0000 c5000000 
0.0003168, 14.114764213562, 198, 0, 0, 0, 13d66141 0000 c6000000 
0.0003184, 13.4031639099121, 199, 0, 0, 0, 5c735641 0000 c7000000 
0.00032, 12.84250831604, 200, 0, 0, 0, ea7a4d41 0000 c8000000 
0.0003216, 12.6915626525879, 201, 0, 0, 0, a4104b41 0000 c9000000 
0.0003232, 12.4112358093262, 202, 0, 0, 0, 6c944641 0000 ca000000 
0.0003248, 12.5837450027466, 203, 0, 0, 0, 05574941 0000 cb000000 
0.0003264, 12.84250831604, 204, 0, 0, 0, ea7a4d41 0000 cc000000 
0.000328, 12.9718904495239, 205, 0, 0, 0, dd8c4f41 0000 cd000000 
0.0003296, 11.979962348938, 206, 0, 0, 0, edad3f41 0000 ce000000 
0.0003312, 12.2171621322632, 207, 0, 0, 0, 7f794341 0000 cf000000 
0.0003328, 11.8290166854858, 208, 0, 0, 0, a7433d41 0000 d0000000 
0.0003344, 11.5702524185181, 209, 0, 0, 0, c11f3941 0000 d1000000 
0.000336, 11.699634552002, 210, 0, 0, 0, b4313b41 0000 d2000000 
0.0003376, 11.8074531555176, 211, 0, 0, 0, 54eb3c41 0000 d3000000 
0.0003392, 11.289924621582, 212, 0, 0, 0, 88a33441 0000 d4000000 
0.0003408, 10.9880332946777, 213, 0, 0, 0, fcce2f41 0000 d5000000 
0.0003424, 10.7723970413208, 214, 0, 0, 0, bd5b2c41 0000 d6000000 
0.000344, 10.8155241012573, 215, 0, 0, 0, 630c2d41 0000 d7000000 
0.0003456, 10.3842506408691, 216, 0, 0, 0, e4252641 0000 d8000000 
0.0003472, 11.0311613082886, 217, 0, 0, 0, a37f3041 0000 d9000000 
0.0003488, 10.4058151245117, 218, 0, 0, 0, 387e2641 0000 da000000 
0.0003504, 9.6942138671875, 219, 0, 0, 0, 801b1b41 0000 db000000 
0.000352, 9.90985012054443, 220, 0, 0, 0, bf8e1e41 0000 dc000000 
0.0003536, 9.52170467376709, 221, 0, 0, 0, e7581841 0000 dd000000 
0.0003552, 10.1686143875122, 222, 0, 0, 0, a5b22241 0000 de000000 
0.0003568, 10.2117414474487, 223, 0, 0, 0, 4b632341 0000 df000000 
0.0003584, 9.4570140838623, 224, 0, 0, 0, ee4f1741 0000 e0000000 
0.00036, 8.89635848999023, 225, 0, 0, 0, 7c570e41 0000 e1000000 
0.0003616, 8.48664855957031, 226, 0, 0, 0, 50c90741 0000 e2000000 
0.0003632, 8.35726642608643, 227, 0, 0, 0, 5db70541 0000 e3000000 
0.0003648, 8.63759422302246, 228, 0, 0, 0, 96330a41 0000 e4000000 
0.0003664, 8.378830909729, 229, 0, 0, 0, b10f0641 0000 e5000000 
0.000368, 8.9179220199585, 230, 0, 0, 0, cfaf0e41 0000 e6000000 
0.0003696, 8.83166694641113, 231, 0, 0, 0, 824e0d41 0000 e7000000 
0.0003712, 8.59446716308594, 232, 0, 0, 0, f0820941 0000 e8000000 
0.0003728, 8.20632076263428, 233, 0, 0, 0, 174d0341 0000 e9000000 
0.0003744, 7.60253858566284, 234, 0, 0, 0, ff47f340 0000 ea000000 
0.000376, 7.5378475189209, 235, 0, 0, 0, 0c36f140 0000 eb000000 
0.0003776, 7.21439266204834, 236, 0, 0, 0, 4edce640 0000 ec000000 
0.0003792, 7.45159292221069, 237, 0, 0, 0, 7373ee40 0000 ed000000 
0.0003808, 7.34377479553223, 238, 0, 0, 0, 3400eb40 0000 ee000000 
0.0003824, 7.77504777908325, 239, 0, 0, 0, 31cdf840 0000 ef000000 
0.000384, 7.21439266204834, 240, 0, 0, 0, 4edce640 0000 f0000000 
0.0003856, 6.56748294830322, 241, 0, 0, 0, d228d240 0000 f1000000 
0.0003872, 5.48929977416992, 242, 0, 0, 0, 58a8af40 0000 f2000000 
0.0003888, 6.15777349472046, 243, 0, 0, 0, 7b0cc540 0000 f3000000 
0.0003904, 6.97719240188599, 244, 0, 0, 0, 2945df40 0000 f4000000 
0.000392, 6.61061000823975, 245, 0, 0, 0, 1e8ad340 0000 f5000000 
0.0003936, 6.97719240188599, 246, 0, 0, 0, 2945df40 0000 f6000000 
0.0003952, 6.69686508178711, 247, 0, 0, 0, b84cd640 0000 f7000000 
0.0003968, 6.20090055465698, 248, 0, 0, 0, c76dc640 0000 f8000000 
0.0003984, 6.22246408462524, 249, 0, 0, 0, 6d1ec740 0000 f9000000 
0.0004, 5.79119110107422, 250, 0, 0, 0, 7051b940 0000 fa000000 
0.0004016, 6.02839136123657, 251, 0, 0, 0, 95e8c040 0000 fb000000 
0.0004032, 5.70493650436401, 252, 0, 0, 0, d78eb640 0000 fc000000 
0.0004048, 5.5324273109436, 253, 0, 0, 0, a509b140 0000 fd000000 
0.0004064, 4.88551712036133, 254, 0, 0, 0, 28569c40 0000 fe000000 
0.000408, 5.70493650436401, 255, 1, TriggerDetected, 0, d78eb640 0100 ff000000 
0.0004096, 5.66180896759033, 256, 0, 0, 0, 8a2db540 0000 00010000 
0.0004112, 6.15777349472046, 257, 0, 0, 0, 7b0cc540 0000 01010000 
0.0004128, 5.66180896759033, 258, 0, 0, 0, 8a2db540 0000 02010000 
0.0004144, 5.31679058074951, 259, 0, 0, 0, 2623aa40 0000 03010000 
0.000416, 5.70493650436401, 260, 0, 0, 0, d78eb640 0000 04010000 
0.0004176, 5.89900922775269, 261, 0, 0, 0, afc4bc40 0000 05010000 
0.0004192, 5.51086330413818, 262, 0, 0, 0, fe58b040 0000 06010000 
0.0004208, 6.17933702468872, 263, 0, 0, 0, 21bdc540 0000 07010000 
0.0004224, 5.44617223739624, 264, 0, 0, 0, 0b47ae40 0000 08010000 
0.000424, 5.74806356430054, 265, 0, 0, 0, 23f0b740 0000 09010000 
0.0004256, 5.55399084091187, 266, 0, 0, 0, 4bbab140 0000 0a010000 
0.0004272, 5.79119110107422, 267, 0, 0, 0, 7051b940 0000 0b010000 
0.0004288, 6.04995489120483, 268, 0, 0, 0, 3b99c140 0000 0c010000 
0.0004304, 6.58904647827148, 269, 0, 0, 0, 78d9d240 0000 0d010000 
0.000432, 6.41653728485107, 270, 0, 0, 0, 4654cd40 0000 0e010000 
0.0004336, 6.00682783126831, 271, 0, 0, 0, ef37c040 0000 0f010000 
0.0004352, 5.92057323455811, 272, 0, 0, 0, 5675bd40 0000 10010000 
0.0004368, 4.97177171707153, 273, 0, 0, 0, c1189f40 0000 11010000 
0.0004384, 4.86395359039307, 274, 0, 0, 0, 82a59b40 0000 12010000 
0.00044, 5.07959032058716, 275, 1, TriggerDetected, 0, 018ca240 0100 13010000 
0.0004416, 5.07959032058716, 276, 0, 0, 0, 018ca240 0000 14010000 
0.0004432, 4.64831686019897, 277, 0, 0, 0, 03bf9440 0000 15010000 
0.0004448, 4.60518980026245, 278, 0, 0, 0, b75d9340 0000 16010000 
0.0004464, 5.27366304397583, 279, 1, TriggerDetected, 0, d9c1a840 0100 17010000 
0.000448, 5.48929977416992, 280, 0, 0, 0, 58a8af40 0000 18010000 
0.0004496, 6.04995489120483, 281, 0, 0, 0, 3b99c140 0000 19010000 
0.0004512, 5.98526382446289, 282, 0, 0, 0, 4887bf40 0000 1a010000 
0.0004528, 4.92864465713501, 283, 0, 0, 0, 75b79d40 0000 1b010000 
0.0004544, 4.58362579345703, 284, 0, 0, 0, 10ad9240 0000 1c010000 
0.000456, 4.49737119674683, 285, 0, 0, 0, 77ea8f40 0000 1d010000 
0.0004576, 3.89358878135681, 286, 0, 0, 0, 8f307940 0000 1e010000 
0.0004592, 3.85046148300171, 287, 0, 0, 0, f66d7640 0000 1f010000 
0.0004608, 4.21704387664795, 288, 0, 0, 0, 06f28640 0000 20010000 
0.0004624, 4.41111660003662, 289, 0, 0, 0, de278d40 0000 21010000 
0.000464, 5.03646278381348, 290, 1, TriggerDetected, 0, b42aa140 0100 22010000 
0.0004656, 4.23860740661621, 291, 0, 0, 0, aca28740 0000 23010000 
0.0004672, 4.73457145690918, 292, 0, 0, 0, 9c819740 0000 24010000 
0.0004688, 5.03646278381348, 293, 1, TriggerDetected, 0, b42aa140 0100 25010000 
0.0004704, 4.64831686019897, 294, 0, 0, 0, 03bf9440 0000 26010000 
0.000472, 4.73457145690918, 295, 0, 0, 0, 9c819740 0000 27010000 
0.0004736, 3.82889771461487, 296, 0, 0, 0, a90c7540 0000 28010000 
0.0004752, 3.63482475280762, 297, 0, 0, 0, f8a06840 0000 29010000 
0.0004768, 3.67795205116272, 298, 0, 0, 0, 91636b40 0000 2a010000 
0.0004784, 4.23860740661621, 299, 0, 0, 0, aca28740 0000 2b010000 
0.00048, 4.13078927993774, 300, 0, 0, 0, 6d2f8440 0000 2c010000 
0.0004816, 4.08766174316406, 301, 0, 0, 0, 20ce8240 0000 2d010000 
0.0004832, 3.67795205116272, 302, 0, 0, 0, 91636b40 0000 2e010000 
0.0004848, 3.65638852119446, 303, 0, 0, 0, 45026a40 0000 2f010000 
0.0004864, 4.41111660003662, 304, 0, 0, 0, de278d40 0000 30010000 
0.000488, 3.95827984809875, 305, 0, 0, 0, 75547d40 0000 31010000 
0.0004896, 3.95827984809875, 306, 0, 0, 0, 75547d40 0000 32010000 
0.0004912, 3.67795205116272, 307, 0, 0, 0, 91636b40 0000 33010000 
0.0004928, 3.54857015609741, 308, 0, 0, 0, c61b6340 0000 34010000 
0.0004944, 3.69951581954956, 309, 0, 0, 0, dec46c40 0000 35010000 
0.000496, 3.65638852119446, 310, 0, 0, 0, 45026a40 0000 36010000 
0.0004976, 3.48387908935547, 311, 0, 0, 0, e0f75e40 0000 37010000 
0.0004992, 3.24667882919312, 312, 0, 0, 0, 96c94f40 0000 38010000 
0.0005008, 3.78577041625977, 313, 0, 0, 0, 104a7240 0000 39010000 
0.0005024, 3.52700638771057, 314, 0, 0, 0, 79ba6140 0000 3a010000 
0.000504, 3.11729693412781, 315, 0, 0, 0, cb814740 0000 3b010000 
