Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
3.3, -0.0296747628599405, 0, 0, 3300000, 0, 0, 0
3.4, -0.0286623127758503, 0, 0, 3400000, 0, 0, 0
3.5, -0.0287645664066076, 0, 0, 3500000, 0, 0, 0
3.6, -0.0284469537436962, 0, 0, 3600000, 0, 0, 0
3.7, -0.0287919994443655, 0, 0, 3700000, 0, 0, 0
3.8, -0.0283990986645222, 0, 0, 3800000, 0, 0, 0
3.9, -0.027885215356946, 0, 0, 3900000, 0, 0, 0
4, -0.0263153538107872, 0, 0, 4000000, 0, 0, 0
4.1, -0.0245529301464558, 0, 0, 4100000, 0, 0, 0
4.2, -0.0161414984613657, 0, 0, 4200000, 0, 0, 0
4.3, -0.000365954067092389, 0, 0, 4300000, 0, 0, 0
4.4, 0.0167267490178347, 0, 0, 4400000, 0, 0, 0
4.5, 0.0337306708097458, 0, 0, 4500000, 0, 0, 0
4.6, 0.0471109561622143, 0, 0, 4600010, 0, 0, 0
4.7, 0.0606533400714397, 0, 0, 4700000, 0, 0, 0
4.8, 0.0712681114673615, 0, 0, 4800000, 0, 0, 0
4.9, 0.0811510682106018, -9.5, 4.69106483459473, 4900010, 0, 0, 0
5, 0.0905890539288521, -9.5, 4.29395580291748, 5000010, 0, 0, 0
5.1, 0.0985043942928314, -9.5, 4.11011648178101, 5100010, 0, 0, 0
5.2, 0.103279337286949, -9.5, 3.88954138755798, 5200010, 0, 0, 0
5.3, 0.103894717991352, -9.12939071655273, 3.70969200134277, 5300010, 0, 0, 0
5.4, 0.105962306261063, -8.31719017028809, 3.44214105606079, 5400010, 0, 0, 0
5.5, 0.112849749624729, -6.46716594696045, 3.11072540283203, 5500010, 0, 0, 0
5.6, 0.126063093543053, -3.76210904121399, 2.60303926467896, 5600010, 0, 0, 0
5.7, 0.14617820084095, -0.625740587711334, 1.70353865623474, 5700010, 0, 0, 0
5.8, 0.166664600372314, 1.69070982933044, 0.774667859077454, 5800010, 0, 0, 0
5.9, 0.181051895022392, 3.24091553688049, 0.233045324683189, 5900010, 0, 0, 0
6, 0.193371072411537, 4.27617216110229, -0.265963584184647, 6000010, 0, 0, 0
6.1, 0.201725825667381, 4.93693113327026, -0.546004593372345, 6100010, 0, 0, 0
6.2, 0.207093775272369, 5.35772848129272, -0.771396696567535, 6200010, 0, 0, 0
6.3, 0.212932750582695, 5.67132997512817, -0.940030574798584, 6300010, 0, 0, 0
6.4, 0.219926923513412, 5.89977693557739, -1.10489845275879, 6400010, 0, 0, 0
6.5, 0.226892918348312, 6.02496337890625, -1.22650301456451, 6500010, 0, 0, 0
6.6, 0.232214197516441, 6.03573560714722, -1.26140093803406, 6600020, 0, 0, 0
6.7, 0.236521020531654, 5.9733190536499, -1.29420804977417, 6700010, 0, 0, 0
6.8, 0.240782201290131, 5.95320463180542, -1.27270460128784, 6800010, 0, 0, 0
6.9, 0.243815407156944, 5.82719564437866, -1.26207327842712, 6900010, 0, 0, 0
7, 0.24502494931221, 5.80670642852783, -1.2055162191391, 7000010, 0, 0, 0
7.1, 0.245779424905777, 5.7358021736145, -1.19101893901825, 7100010, 0, 0, 0
7.2, 0.247505187988281, 5.70419931411743, -1.14099454879761, 7200010, 0, 0, 0
7.3, 0.248366102576256, 5.62211847305298, -1.11109805107117, 7300010, 0, 0, 0
7.4, 0.249195158481598, 5.61618852615356, -1.08823680877686, 7400010, 0, 0, 0
7.5, 0.245617479085922, 5.29895782470703, -1.06116914749146, 7500010, 0, 0, 0
