Meter S/N: Not_Serialized,
Sensor S/N: 0585A00
SUN JUN  9 17:03:14 2013,
Measurement,PulsePeriod(usec)
+9.2037529E-02,         0
+7.6227389E-02,         0
+6.2685169E-02,         0
+4.9264785E-02,         0
+4.1416205E-02,         0
+3.6984760E-02,         0
+3.5369903E-02,         0
+3.3531994E-02,         0
+3.3912405E-02,         0
+4.1107129E-02,         0
+5.2558716E-02,         0
+5.6930430E-02,         0
+5.5687640E-02,         0
+5.7838418E-02,         0
+7.1513884E-02,         0
+8.3924554E-02,         0
+9.6755825E-02,         0
+1.0410540E-01,         0
+1.1012928E-01,         0
+1.1225864E-01,         0
+1.1411698E-01,         0
+1.1471856E-01,         0
+1.1689878E-01,         0
+1.2020788E-01,         0
+1.2361574E-01,         0
+1.2764764E-01,         0
+1.3203585E-01,         0
+1.3530703E-01,         0
+1.3616234E-01,         0
+1.3787946E-01,         0
+1.3964953E-01,         0
+1.3918488E-01,         0
+1.3923928E-01,         0
+1.4054704E-01,         0
+1.3903815E-01,         0
+1.3953371E-01,         0
+1.3760027E-01,         0
+1.3906398E-01,         0
+1.3684878E-01,         0
+1.3706334E-01,         0
+1.3043144E-01,         0
+1.2138092E-01,         0
+1.1642371E-01,         0
+1.1411624E-01,         0
+1.1277353E-01,         0
+1.1310451E-01,         0
+1.1083345E-01,         0
+1.0740317E-01,         0
+1.0442171E-01,         0
+1.0506752E-01,         0
+1.0407464E-01,         0
+1.0643765E-01,         0
+1.0649291E-01,         0
+1.0726179E-01,         0
+1.0853708E-01,         0
+1.0838602E-01,         0
+1.0877169E-01,         0
+1.0999729E-01,         0
+1.0928296E-01,         0
+1.1101739E-01,         0
+1.0960510E-01,         0
+1.1060714E-01,         0
+1.1059516E-01,         0
+1.1055160E-01,         0
+1.1095651E-01,         0
+1.1051044E-01,         0
+1.1083429E-01,         0
+1.1071425E-01,         0
+1.1091812E-01,         0
+1.1091551E-01,         0
+1.1036230E-01,         0
+1.1056200E-01,         0
+1.1064568E-01,         0
+1.1040617E-01,         0
+1.1039907E-01,         0
+1.1063221E-01,         0
+1.1098482E-01,         0
+1.1073599E-01,         0
+1.1122125E-01,         0
+1.1105413E-01,         0
+1.1074668E-01,         0
+1.1083265E-01,         0
+1.1142289E-01,         0
+1.1070575E-01,         0
+1.1098701E-01,         0
+1.1149660E-01,         0
+1.1094993E-01,         0
+1.1161650E-01,         0
+1.1113498E-01,         0
+1.1150099E-01,         0
+1.1192666E-01,         0
+1.1145528E-01,         0
+1.1118205E-01,         0
+1.1190858E-01,         0
+1.1215480E-01,         0
+1.1475655E-01,         0
+1.1458255E-01,         0
+1.1496792E-01,         0
+1.1841765E-01,         0
+1.1536770E-01,         0
+1.1356587E-01,         0
+1.0919643E-01,         0
+1.0631707E-01,         0
+1.0979380E-01,         0
+1.0629694E-01,         0
+1.0653075E-01,         0
+1.0743672E-01,         0
+1.0554969E-01,         0
+1.0664593E-01,         0
+1.0598717E-01,         0
+1.0364334E-01,         0
+1.0284656E-01,         0
+1.0462552E-01,         0
+1.0729147E-01,         0
+1.0543073E-01,         0
+1.0483082E-01,         0
+1.0664144E-01,         0
+1.0696018E-01,         0
+1.0696098E-01,         0
+1.0684001E-01,         0
+1.0713891E-01,         0
+1.0406865E-01,         0
+1.0343114E-01,         0
+1.0584409E-01,         0
+1.0635751E-01,         0
+1.0672706E-01,         0
+1.0611574E-01,         0
+1.0454673E-01,         0
+1.0593636E-01,         0
+1.0573798E-01,         0
+1.0559382E-01,         0
+1.0590933E-01,         0
+1.0369995E-01,         0
+1.0530540E-01,         0
+1.0538223E-01,         0
+1.0561786E-01,         0
+1.0602240E-01,         0
