
0	Header	[1]	00  .
3189	Data	[37]	31 2e 31 39 38 30 32 65 2d 30 32 2c 2d 31 2e 36 37 65 2d 30 31 2c 32 2e 30 39 65 2b 30 30 2c 30 2c 33 31 30 30  1.19802e-02,-1.67e-01,2.09e+00,0,3100
3289	Data	[37]	31 2e 37 38 35 37 30 65 2d 30 32 2c 2d 34 2e 30 38 65 2b 30 30 2c 36 2e 30 30 65 2d 30 31 2c 30 2c 33 32 30 30  1.78570e-02,-4.08e+00,6.00e-01,0,3200
3389	Data	[37]	32 2e 30 30 34 32 32 65 2d 30 32 2c 2d 34 2e 32 37 65 2b 30 30 2c 34 2e 34 33 65 2d 30 31 2c 30 2c 33 33 30 30  2.00422e-02,-4.27e+00,4.43e-01,0,3300
3489	Data	[37]	32 2e 34 30 37 36 37 65 2d 30 32 2c 2d 33 2e 38 31 65 2b 30 30 2c 33 2e 31 34 65 2d 30 31 2c 30 2c 33 34 30 30  2.40767e-02,-3.81e+00,3.14e-01,0,3400
3589	Data	[37]	32 2e 36 37 35 30 37 65 2d 30 32 2c 2d 32 2e 37 30 65 2b 30 30 2c 31 2e 39 36 65 2d 30 31 2c 30 2c 33 35 30 30  2.67507e-02,-2.70e+00,1.96e-01,0,3500
3689	Data	[38]	33 2e 32 34 33 32 38 65 2d 30 32 2c 2d 32 2e 32 33 65 2b 30 30 2c 2d 31 2e 37 31 65 2b 30 30 2c 30 2c 33 36 30 30  3.24328e-02,-2.23e+00,-1.71e+00,0,3600
3789	Data	[38]	34 2e 30 39 38 30 38 65 2d 30 32 2c 2d 32 2e 39 34 65 2b 30 30 2c 2d 33 2e 30 32 65 2b 30 30 2c 30 2c 33 37 30 30  4.09808e-02,-2.94e+00,-3.02e+00,0,3700
3889	Data	[38]	34 2e 34 35 39 31 30 65 2d 30 32 2c 2d 33 2e 39 39 65 2b 30 30 2c 2d 33 2e 35 34 65 2b 30 30 2c 30 2c 33 38 30 30  4.45910e-02,-3.99e+00,-3.54e+00,0,3800
3989	Data	[38]	34 2e 36 35 30 32 31 65 2d 30 32 2c 2d 34 2e 33 38 65 2b 30 30 2c 2d 33 2e 35 37 65 2b 30 30 2c 30 2c 33 39 30 30  4.65021e-02,-4.38e+00,-3.57e+00,0,3900
4090	Data	[38]	34 2e 35 38 39 33 32 65 2d 30 32 2c 2d 34 2e 37 39 65 2b 30 30 2c 2d 33 2e 36 37 65 2b 30 30 2c 30 2c 34 30 30 30  4.58932e-02,-4.79e+00,-3.67e+00,0,4000
4190	Data	[38]	34 2e 33 36 34 34 35 65 2d 30 32 2c 2d 34 2e 38 32 65 2b 30 30 2c 2d 33 2e 33 33 65 2b 30 30 2c 30 2c 34 31 30 30  4.36445e-02,-4.82e+00,-3.33e+00,0,4100
4290	Data	[38]	34 2e 33 37 30 33 30 65 2d 30 32 2c 2d 34 2e 35 34 65 2b 30 30 2c 2d 32 2e 37 33 65 2b 30 30 2c 30 2c 34 32 30 30  4.37030e-02,-4.54e+00,-2.73e+00,0,4200
4390	Data	[38]	34 2e 33 33 30 37 34 65 2d 30 32 2c 2d 33 2e 38 30 65 2b 30 30 2c 2d 31 2e 38 33 65 2b 30 30 2c 30 2c 34 33 30 30  4.33074e-02,-3.80e+00,-1.83e+00,0,4300
4489	Data	[38]	34 2e 33 38 35 38 39 65 2d 30 32 2c 2d 32 2e 38 36 65 2b 30 30 2c 2d 31 2e 32 38 65 2b 30 30 2c 30 2c 34 34 30 30  4.38589e-02,-2.86e+00,-1.28e+00,0,4400
4590	Data	[38]	34 2e 34 32 33 37 39 65 2d 30 32 2c 2d 31 2e 39 30 65 2b 30 30 2c 2d 38 2e 36 33 65 2d 30 31 2c 30 2c 34 35 30 30  4.42379e-02,-1.90e+00,-8.63e-01,0,4500
4690	Data	[38]	34 2e 35 35 39 31 37 65 2d 30 32 2c 2d 31 2e 33 33 65 2b 30 30 2c 2d 31 2e 32 35 65 2b 30 30 2c 30 2c 34 36 30 30  4.55917e-02,-1.33e+00,-1.25e+00,0,4600
4790	Data	[38]	34 2e 38 36 35 35 34 65 2d 30 32 2c 2d 35 2e 35 31 65 2d 30 31 2c 2d 32 2e 31 39 65 2b 30 30 2c 30 2c 34 37 30 30  4.86554e-02,-5.51e-01,-2.19e+00,0,4700
4890	Data	[38]	34 2e 39 30 33 31 36 65 2d 30 32 2c 2d 34 2e 38 31 65 2d 30 31 2c 2d 32 2e 37 31 65 2b 30 30 2c 30 2c 34 38 30 30  4.90316e-02,-4.81e-01,-2.71e+00,0,4800
4989	Data	[38]	35 2e 30 39 34 35 32 65 2d 30 32 2c 2d 38 2e 39 33 65 2d 30 31 2c 2d 33 2e 33 38 65 2b 30 30 2c 30 2c 34 39 30 30  5.09452e-02,-8.93e-01,-3.38e+00,0,4900
5090	Data	[38]	35 2e 32 37 38 31 30 65 2d 30 32 2c 2d 31 2e 35 30 65 2b 30 30 2c 2d 33 2e 35 36 65 2b 30 30 2c 30 2c 35 30 30 30  5.27810e-02,-1.50e+00,-3.56e+00,0,5000
