Meter S/N:,
Sensor,
Date, 12/11/2015 4:20:37 PM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0064000, 10.7427425384521, 0, 32, UnderRange, 0, 83268e3e 2000
0.0064512, 11.4403791427612, 0, 32, UnderRange, 0, 83268e3e 2000
0.0065024, 11.9980068206787, 0, 32, UnderRange, 0, 83268e3e 2000
0.0065536, 12.4271612167358, 0, 32, UnderRange, 0, 83268e3e 2000
0.0066048, 12.6958713531494, 0, 32, UnderRange, 0, 83268e3e 2000
0.0066560, 12.8186616897583, 0, 32, UnderRange, 0, 83268e3e 2000
0.0067072, 12.7759761810303, 0, 32, UnderRange, 0, 83268e3e 2000
0.0067584, 12.5458812713623, 0, 32, UnderRange, 0, 83268e3e 2000
0.0068096, 12.1932344436646, 0, 32, UnderRange, 0, 83268e3e 2000
0.0068608, 11.6884880065918, 0, 32, UnderRange, 0, 83268e3e 2000
0.0069120, 11.0445604324341, 0, 32, UnderRange, 0, 83268e3e 2000
0.0069632, 10.2599964141846, 0, 32, UnderRange, 0, 83268e3e 2000
0.0070144, 9.41745853424072, 0, 32, UnderRange, 0, 83268e3e 2000
0.0070656, 8.49806594848633, 0, 32, UnderRange, 0, 83268e3e 2000
0.0071168, 7.50456619262695, 0, 32, UnderRange, 0, 83268e3e 2000
0.0071680, 6.50011587142944, 0, 32, UnderRange, 0, 83268e3e 2000
0.0072192, 5.49305295944214, 0, 32, UnderRange, 0, 83268e3e 2000
0.0072704, 4.51870107650757, 0, 32, UnderRange, 0, 83268e3e 2000
0.0073216, 3.58645415306091, 0, 32, UnderRange, 0, 83268e3e 2000
0.0073728, 2.71729612350464, 0, 32, UnderRange, 0, 83268e3e 2000
0.0074240, 1.9663690328598, 0, 32, UnderRange, 0, 83268e3e 2000
0.0074752, 1.35898852348328, 0, 32, UnderRange, 0, 83268e3e 2000
0.0075264, 0.842515468597412, 0, 32, UnderRange, 0, 83268e3e 2000
0.0075776, 0.469875991344452, 0, 32, UnderRange, 0, 83268e3e 2000
0.0076288, 0.313573151826859, 0, 32, UnderRange, 0, 83268e3e 2000
0.0076800, 0.267722070217133, 0, 32, UnderRange, 0, 83268e3e 2000
0.0077312, 0.333997040987015, 0, 32, UnderRange, 0, 83268e3e 2000
0.0077824, 0.655612647533417, 0, 32, UnderRange, 0, 83268e3e 2000
