Meter S/N:, "REV_FA_2"
Sensor, Thermo, Single, 2809, PM
Date, 4/8/2015 11:33:55 AM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
12.5000000, 1.61224E-002, 12300010, 0, 0, 0, 1e13843c 0000 eaaebb00 
12.6000000, 1.42503E-002, 12400010, 0, 0, 0, ec79693c 0000 8a35bd00 
12.7000000, 1.42723E-002, 12500010, 0, 0, 0, 4ed6693c 0000 2abcbe00 
12.8000000, 1.38758E-002, 12600010, 0, 0, 0, 7657633c 0000 ca42c000 
12.9000000, 1.18055E-002, 12700010, 0, 0, 0, bc6b413c 0000 6ac9c100 
13.0000000, 1.09465E-002, 12800010, 0, 0, 0, e958333c 0000 0a50c300 
13.1000000, 1.14531E-002, 12900010, 0, 0, 0, a6a53b3c 0000 aad6c400 
13.2000000, 3.67379E-002, 13000010, 0, 0, 0, 807a163d 0000 4a5dc600 
13.3000000, 8.01274E-002, 13100010, 4, Calculating, 0, da19a43d 0400 eae3c700 
13.4000000, 1.18187E-001, 13200010, 4, Calculating, 0, f30bf23d 0400 8a6ac900 
13.5000000, 1.40256E-001, 13300010, 4, Calculating, 0, 479f0f3e 0400 2af1ca00 
13.6000000, 1.38230E-001, 13400010, 4, Calculating, 0, 178c0d3e 0400 ca77cc00 
13.7000000, 1.26578E-001, 13500010, 4, Calculating, 0, c79d013e 0400 6afecd00 
13.8000000, 1.12901E-001, 13600010, 4, Calculating, 0, 8c38e73d 0400 0a85cf00 
13.9000000, 9.92452E-002, 13700010, 4, Calculating, 0, 1741cb3d 0400 aa0bd100 
14.0000000, 8.75499E-002, 13800010, 4, Calculating, 0, 5d4db33d 0400 4a92d200 
14.1000000, 7.81011E-002, 13900010, 4, Calculating, 0, 7bf39f3d 0400 ea18d400 
14.2000000, 6.92690E-002, 14000010, 4, Calculating, 0, eddc8d3d 0400 8a9fd500 
14.3000000, 6.12519E-002, 14100010, 4, Calculating, 0, 44e37a3d 0400 2a26d700 
14.4000000, 5.53712E-002, 14200020, 4, Calculating, 0, e4cc623d 0400 d4acd800 
14.5000000, 4.84993E-002, 14300010, 4, Calculating, 0, 3fa7463d 0400 6a33da00 
14.6000000, 4.26407E-002, 14400010, 4, Calculating, 0, f8a72e3d 0400 0abadb00 
14.7000000, 3.95792E-002, 14500010, 4, Calculating, 0, c21d223d 0400 aa40dd00 
14.8000000, 3.48878E-002, 14600010, 4, Calculating, 0, 85e60e3d 0400 4ac7de00 
14.9000000, 3.25972E-002, 14700010, 4, Calculating, 0, a384053d 0400 ea4de000 
15.0000000, 2.75534E-002, 14800010, 4, Calculating, 0, c1b7e13c 0400 8ad4e100 
15.1000000, 2.60778E-002, 14900010, 4, Calculating, 0, 05a1d53c 0400 2a5be300 
15.2000000, 2.26639E-002, 15000010, 4, Calculating, 0, 8fa9b93c 0400 cae1e400 
15.2000000, 1.83038E-001, 15001280, 8, FinalEnergyRecord, 0, 406e3b3e 0800 c0e6e400 
15.4000000, 2.01310E-002, 15100010, 0, 0, 0, b5e9a43c 0000 6a68e600 
15.5000000, 1.82809E-002, 15200010, 0, 0, 0, bdc1953c 0000 0aefe700 
15.6000000, 1.73999E-002, 15300010, 0, 0, 0, 238a8e3c 0000 aa75e900 
15.7000000, 1.56378E-002, 15400010, 0, 0, 0, ef1a803c 0000 4afcea00 
15.8000000, 1.36996E-002, 15500010, 0, 0, 0, 6c74603c 0000 ea82ec00 
15.9000000, 1.35455E-002, 15600010, 0, 0, 0, c2ed5d3c 0000 8a09ee00 
16.0000000, 1.18936E-002, 15700010, 0, 0, 0, 41dd423c 0000 2a90ef00 
16.1000000, 1.03959E-002, 15800010, 0, 0, 0, 68532a3c 0000 ca16f100 
16.2000000, 9.75713E-003, 15900010, 0, 0, 0, 62dc1f3c 0000 6a9df200 
16.3000000, 8.96423E-003, 16000010, 0, 0, 0, b3de123c 0000 0a24f400 
16.4000000, 7.92905E-003, 16100010, 0, 0, 0, d6e8013c 0000 aaaaf500 
16.5000000, 7.97310E-003, 16200020, 0, 0, 0, 99a1023c 0000 5431f700 
16.6000000, 6.62956E-003, 16300010, 0, 0, 0, d13cd93b 0000 eab7f800 
16.7000000, 6.54146E-003, 16400010, 0, 0, 0, c759d63b 0000 8a3efa00 
16.8000000, 6.58551E-003, 16500010, 0, 0, 0, 4ccbd73b 0000 2ac5fb00 
16.9000000, 5.68248E-003, 16600000, 0, 0, 0, 2134ba3b 0000 c04bfd00 
17.0000000, 5.39616E-003, 16700010, 0, 0, 0, 3fd2b03b 0000 6ad2fe00 
17.1000000, 3.81035E-003, 16800010, 0, 0, 0, 07b7793b 0000 0a590001 
17.2000000, 4.47110E-003, 16900010, 0, 0, 0, 5282923b 0000 aadf0101 
17.3000000, 3.89845E-003, 17000010, 0, 0, 0, 1c7d7f3b 0000 4a660301 
17.4000000, 3.21567E-003, 17100010, 0, 0, 0, fbbd523b 0000 eaec0401 
17.5000000, 3.65617E-003, 17200010, 0, 0, 0, 629c6f3b 0000 8a730601 
17.6000000, 2.95137E-003, 17300010, 0, 0, 0, bc6b413b 0000 2afa0701 
17.7000000, 3.06149E-003, 17400010, 0, 0, 0, 56a3483b 0000 ca800901 
17.8000000, 2.81922E-003, 17500000, 0, 0, 0, 9cc2383b 0000 60070b01 

Skipped, , , , , "4f4b0d0a ", "OK\r\n"

