Meter S/N:, 0484C15R
Sensor, Thermo, Single, ENB075, PM-Pro 150 LP
Date, 6/4/2015 3:08:29 PM
Units, W
Cursor, 0.0000000, 0.0211184, 23354.24218750, -1.71631050
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0002240, 1.26177489757538, 140, 0, 0, 0
0.0002256, 1.86602413654327, 141, 0, 0, 0
0.0002272, 1.08913218975067, 142, 0, 0, 0
0.0002288, 1.08913218975067, 143, 0, 0, 0
0.0002304, 0.528043687343597, 144, 0, 0, 0
0.0002320, 1.30493557453156, 145, 0, 0, 0
0.0002336, 0.70068633556366, 146, 0, 0, 0
0.0002352, 1.08913218975067, 147, 0, 0, 0
0.0002368, 0.312240391969681, 148, 0, 0, 0
0.0002384, 0.614364981651306, 149, 0, 0, 0
0.0002400, 0.312240391969681, 150, 0, 0, 0
0.0002416, -0.550972759723663, 151, 0, 0, 0
0.0002432, 0.787007629871368, 152, 0, 0, 0
0.0002448, 0.528043687343597, 153, 0, 0, 0
0.0002464, 0.355401039123535, 154, 0, 0, 0
0.0002480, 0.441722363233566, 155, 0, 0, 0
0.0002496, 0.873328924179077, 156, 0, 0, 0
0.0002512, 0.0964370965957642, 157, 0, 0, 0
0.0002528, 0.22591906785965, 158, 0, 0, 0
0.0002544, 0.0101157790049911, 159, 0, 0, 0
0.0002560, -0.378330141305923, 160, 0, 0, 0
0.0002575, -1.24154329299927, 161, 0, 0, 0
0.0002592, -0.723615407943726, 162, 0, 0, 0
0.0002608, -0.59413343667984, 163, 0, 0, 0
0.0002624, 0.398561716079712, 164, 0, 0, 0
0.0002640, -0.0762055367231369, 165, 0, 0, 0
0.0002656, 0.13959775865078, 166, 0, 0, 0
0.0002672, 1.08913218975067, 167, 0, 0, 0
0.0002687, 0.269079715013504, 168, 0, 0, 0
0.0002704, 1.00281095504761, 169, 0, 0, 0
0.0002720, 1.30493557453156, 170, 0, 0, 0
0.0002736, 0.70068633556366, 171, 0, 0, 0
0.0002752, 0.916489601135254, 172, 0, 0, 0
0.0002768, 1.6070601940155, 173, 0, 0, 0
0.0002784, 1.08913218975067, 174, 0, 0, 0
0.0002799, 1.56389951705933, 175, 0, 0, 0
0.0002816, 1.00281095504761, 176, 0, 0, 0
0.0002832, 0.571204364299774, 177, 0, 0, 0
0.0002848, 0.312240391969681, 178, 0, 0, 0
0.0002864, 1.34809613227844, 179, 0, 0, 0
0.0002880, 0.312240391969681, 180, 0, 0, 0
0.0002896, 0.743846952915192, 181, 0, 0, 0
0.0002911, -0.248848170042038, 182, 0, 0, 0
0.0002928, -0.0762055367231369, 183, 0, 0, 0
0.0002944, 0.787007629871368, 184, 0, 0, 0
0.0002960, 1.4344174861908, 185, 0, 0, 0
0.0002976, 0.614364981651306, 186, 0, 0, 0
0.0002992, -0.0762055367231369, 187, 0, 0, 0
0.0003008, -0.853097379207611, 188, 0, 0, 0
0.0003024, -0.0330448783934116, 189, 0, 0, 0
0.0003040, 0.0964370965957642, 190, 0, 0, 0
0.0003056, 0.441722363233566, 191, 0, 0, 0
0.0003072, -0.680454730987549, 192, 0, 0, 0
0.0003088, -0.248848170042038, 193, 0, 0, 0
0.0003104, -0.378330141305923, 194, 0, 0, 0
0.0003120, -0.637294113636017, 195, 0, 0, 0
0.0003136, -0.637294113636017, 196, 0, 0, 0
0.0003152, -0.162526860833168, 197, 0, 0, 0
0.0003168, -0.59413343667984, 198, 0, 0, 0
0.0003184, -0.162526860833168, 199, 0, 0, 0
0.0003200, -0.4214908182621, 200, 0, 0, 0
0.0003216, -0.550972759723663, 201, 0, 0, 0
0.0003232, 1.00281095504761, 202, 0, 0, 0
0.0003248, 0.269079715013504, 203, 0, 0, 0
0.0003264, -0.464651465415955, 204, 0, 0, 0
0.0003280, 0.182758405804634, 205, 0, 0, 0
0.0003296, 0.528043687343597, 206, 0, 0, 0
0.0003311, 0.182758405804634, 207, 0, 0, 0
0.0003328, 1.2186142206192, 208, 0, 0, 0
0.0003344, -0.205687507987022, 209, 0, 0, 0
0.0003360, 0.398561716079712, 210, 0, 0, 0
0.0003376, 0.22591906785965, 211, 0, 0, 0
0.0003392, 0.830168306827545, 212, 0, 0, 0
0.0003408, 0.959650278091431, 213, 0, 0, 0
0.0003423, 1.86602413654327, 214, 0, 0, 0
0.0003440, 0.22591906785965, 215, 0, 0, 0
0.0003456, -0.723615407943726, 216, 0, 0, 0
0.0003472, -0.766776084899902, 217, 0, 0, 0
0.0003488, -1.32786464691162, 218, 0, 0, 0
0.0003504, 0.312240391969681, 219, 0, 0, 0
0.0003520, 0.571204364299774, 220, 0, 0, 0
0.0003535, 0.873328924179077, 221, 0, 0, 0
0.0003552, 0.0101157790049911, 222, 0, 0, 0
0.0003568, -0.0330448783934116, 223, 0, 0, 0
0.0003584, 0.22591906785965, 224, 0, 0, 0
0.0003600, -0.248848170042038, 225, 0, 0, 0
0.0003616, 0.13959775865078, 226, 0, 0, 0
0.0003632, -0.0330448783934116, 227, 0, 0, 0
0.0003647, -0.0762055367231369, 228, 0, 0, 0
0.0003664, -0.248848170042038, 229, 0, 0, 0
0.0003680, 1.77970278263092, 230, 0, 0, 0
0.0003696, 0.830168306827545, 231, 0, 0, 0
0.0003712, 0.441722363233566, 232, 0, 0, 0
0.0003728, -0.335169494152069, 233, 0, 0, 0
0.0003744, 0.355401039123535, 234, 0, 0, 0
0.0003760, 0.873328924179077, 235, 0, 0, 0
0.0003776, 0.0532764382660389, 236, 0, 0, 0
0.0003792, 0.657525658607483, 237, 0, 0, 0
0.0003808, 1.2186142206192, 238, 0, 0, 0
0.0003824, 0.614364981651306, 239, 0, 0, 0
0.0003840, 0.830168306827545, 240, 0, 0, 0
0.0003856, 1.52073884010315, 241, 0, 0, 0
0.0003872, 1.47757816314697, 242, 0, 0, 0
0.0003888, 1.99550604820251, 243, 0, 0, 0
0.0003904, 1.2186142206192, 244, 0, 0, 0
0.0003920, 1.4344174861908, 245, 0, 0, 0
0.0003936, 1.69338142871857, 246, 0, 0, 0
0.0003952, 1.90918469429016, 247, 0, 0, 0
0.0003968, 2.38395190238953, 248, 0, 0, 0
0.0003984, 1.99550604820251, 249, 0, 0, 0
0.0004000, 1.69338142871857, 250, 0, 0, 0
0.0004016, 1.30493557453156, 251, 0, 0, 0
0.0004032, 1.73654210567474, 252, 0, 0, 0
0.0004047, 1.73654210567474, 253, 0, 0, 0
0.0004064, 1.17545354366302, 254, 0, 0, 0
0.0004080, 0.916489601135254, 255, 0, 0, 0
0.0004096, 1.17545354366302, 256, 0, 0, 0
0.0004112, 1.4344174861908, 257, 0, 0, 0
0.0004128, 1.69338142871857, 258, 0, 0, 0
0.0004144, 1.39125680923462, 259, 0, 0, 0
0.0004160, 2.77239799499512, 260, 0, 0, 0
0.0004176, 2.08182740211487, 261, 0, 0, 0
0.0004192, 2.12498807907104, 262, 0, 0, 0
0.0004208, 2.08182740211487, 263, 0, 0, 0
0.0004224, 1.6070601940155, 264, 0, 0, 0
0.0004240, 1.65022075176239, 265, 0, 0, 0
0.0004256, 2.47027325630188, 266, 0, 0, 0
0.0004272, 2.68607664108276, 267, 0, 0, 0
0.0004288, 2.81555867195129, 268, 0, 0, 0
0.0004304, 1.6070601940155, 269, 0, 0, 0
0.0004320, 1.17545354366302, 270, 0, 0, 0
0.0004336, 0.22591906785965, 271, 0, 0, 0
0.0004352, 0.441722363233566, 272, 0, 0, 0
0.0004368, 0.70068633556366, 273, 0, 0, 0
0.0004384, 0.0964370965957642, 274, 0, 0, 0
0.0004400, 0.916489601135254, 275, 0, 0, 0
0.0004416, 0.484883010387421, 276, 0, 0, 0
0.0004432, 0.355401039123535, 277, 0, 0, 0
0.0004448, 0.441722363233566, 278, 0, 0, 0
0.0004464, 0.614364981651306, 279, 0, 0, 0
0.0004480, 0.787007629871368, 280, 0, 0, 0
0.0004496, 1.56389951705933, 281, 0, 0, 0
0.0004512, 1.47757816314697, 282, 0, 0, 0
0.0004528, 2.08182740211487, 283, 0, 0, 0
0.0004544, 1.65022075176239, 284, 0, 0, 0
0.0004560, 1.13229286670685, 285, 0, 0, 0
0.0004576, 0.916489601135254, 286, 0, 0, 0
0.0004592, 1.04597163200378, 287, 0, 0, 0
0.0004608, 0.70068633556366, 288, 0, 0, 0
0.0004624, 1.2186142206192, 289, 0, 0, 0
0.0004640, 1.30493557453156, 290, 0, 0, 0
0.0004656, 1.39125680923462, 291, 0, 0, 0
0.0004672, 0.959650278091431, 292, 0, 0, 0
0.0004688, 1.26177489757538, 293, 0, 0, 0
0.0004704, 1.30493557453156, 294, 0, 0, 0
0.0004720, 1.34809613227844, 295, 0, 0, 0
0.0004736, 0.312240391969681, 296, 0, 0, 0
0.0004752, 0.743846952915192, 297, 0, 0, 0
0.0004768, 1.39125680923462, 298, 0, 0, 0
0.0004784, 0.830168306827545, 299, 0, 0, 0
0.0004800, 1.2186142206192, 300, 0, 0, 0
0.0004816, 0.312240391969681, 301, 0, 0, 0
0.0004832, 1.26177489757538, 302, 0, 0, 0
0.0004848, 2.34079122543335, 303, 0, 0, 0
0.0004864, 1.52073884010315, 304, 0, 0, 0
0.0004880, 1.52073884010315, 305, 0, 0, 0
0.0004896, 1.8228634595871, 306, 0, 0, 0
0.0004912, 1.2186142206192, 307, 0, 0, 0
0.0004928, 1.47757816314697, 308, 0, 0, 0
0.0004944, 0.743846952915192, 309, 0, 0, 0
0.0004960, 1.73654210567474, 310, 0, 0, 0
0.0004975, 0.959650278091431, 311, 0, 0, 0
0.0004992, 1.95234537124634, 312, 0, 0, 0
0.0005008, 1.00281095504761, 313, 0, 0, 0
0.0005024, 0.398561716079712, 314, 0, 0, 0
0.0005040, 1.08913218975067, 315, 0, 0, 0
0.0005056, 1.26177489757538, 316, 0, 0, 0
0.0005072, 0.571204364299774, 317, 0, 0, 0
0.0005088, 1.34809613227844, 318, 0, 0, 0
0.0005104, 1.2186142206192, 319, 0, 0, 0
0.0005120, 0.182758405804634, 320, 0, 0, 0
0.0005136, 0.0532764382660389, 321, 0, 0, 0
0.0005151, 0.614364981651306, 322, 0, 0, 0
0.0005168, 0.916489601135254, 323, 0, 0, 0
0.0005184, -0.4214908182621, 324, 0, 0, 0
0.0005199, -0.119366198778152, 325, 0, 0, 0
0.0005216, 1.34809613227844, 326, 0, 0, 0
0.0005232, 0.657525658607483, 327, 0, 0, 0
0.0005248, 0.916489601135254, 328, 0, 0, 0
0.0005264, 2.03866672515869, 329, 0, 0, 0
0.0005280, 0.916489601135254, 330, 0, 0, 0
0.0005296, 0.441722363233566, 331, 0, 0, 0
0.0005312, -0.0330448783934116, 332, 0, 0, 0
0.0005328, 1.2186142206192, 333, 0, 0, 0
0.0005344, 2.12498807907104, 334, 0, 0, 0
0.0005360, 1.04597163200378, 335, 0, 0, 0
0.0005375, 1.04597163200378, 336, 0, 0, 0
0.0005392, 1.2186142206192, 337, 0, 0, 0
0.0005408, -0.637294113636017, 338, 0, 0, 0
0.0005424, 0.13959775865078, 339, 0, 0, 0
0.0005440, 0.916489601135254, 340, 0, 0, 0
0.0005456, 1.86602413654327, 341, 0, 0, 0
