Meter S/N:, "REV_DA_11"
Sensor, THERMO,QUAD, 1A361
Date, 10/21/2014 1:56:12 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
9.4, 0.0927096530795097, 3.99089574813843, 0.851444602012634, 9400000, 0, 0, 0
9.5, 0.0926491245627403, 3.99960136413574, 0.935867488384247, 9500000, 0, 0, 0
9.6, 0.0925544649362564, 4.04066610336304, 0.860076546669006, 9600000, 0, 0, 0
9.7, 0.0924043655395508, 4.02770853042603, 0.931006133556366, 9700000, 0, 0, 0
9.8, 0.0929716378450394, 4.04441690444946, 0.859041750431061, 9800000, 0, 0, 0
9.9, 0.0923525243997574, 4.09678411483765, 0.930967509746552, 9900000, 0, 0, 0
10, 0.0928602442145348, 3.94057655334473, 0.939958572387695, 10000000, 0, 0, 0
10.1, 0.0922473594546318, 4.05885362625122, 0.898681282997131, 10100000, 0, 0, 0
10.2, 0.0923870503902435, 4.01377391815186, 0.876455664634705, 10200000, 0, 0, 0
10.3, 0.0923594236373901, 3.97786402702332, 0.900028586387634, 10300000, 0, 0, 0
10.4, 0.0915148705244064, 3.84862899780273, 1.001185297966, 10400000, 0, 0, 0
10.5, 0.0911471322178841, 3.75599050521851, 0.964173257350922, 10500000, 0, 0, 0
10.6, 0.091356597840786, 3.62216091156006, 0.826684474945068, 10600000, 0, 0, 0
10.7, 0.0909431651234627, 3.4717972278595, 0.905987083911896, 10700000, 0, 0, 0
10.8, 0.0905898809432983, 3.35517764091492, 0.876208066940308, 10800000, 0, 0, 0
10.9, 0.0901131629943848, 3.15818381309509, 0.901284217834473, 10900000, 0, 0, 0
11, 0.0905938670039177, 3.01832222938538, 0.964015781879425, 11000000, 0, 0, 0
11.1, 0.0897117182612419, 2.86252427101135, 0.975559711456299, 11100000, 0, 0, 0
11.2, 0.0902934372425079, 2.73485374450684, 0.953569114208221, 11200000, 0, 0, 0
11.3, 0.0900821164250374, 2.68027925491333, 0.991991400718689, 11300000, 0, 0, 0
11.4, 0.0905027762055397, 2.47010827064514, 0.946134269237518, 11400000, 0, 0, 0
11.5, 0.09036585688591, 2.40197324752808, 0.948458552360535, 11500000, 0, 0, 0
11.6, 0.0901520997285843, 2.2014262676239, 0.952443778514862, 11600000, 0, 0, 0
11.7, 0.0903072655200958, 2.10439419746399, 0.921696424484253, 11700000, 0, 0, 0
11.8, 0.0907424241304398, 2.09005117416382, 0.974961519241333, 11800010, 0, 0, 0
11.9, 0.0904912352561951, 1.93661594390869, 0.9086092710495, 11900000, 0, 0, 0
12, 0.091207280755043, 1.97531652450562, 0.920914769172668, 12000000, 0, 0, 0
12.1, 0.0913373902440071, 1.81999385356903, 0.882658362388611, 12100000, 0, 0, 0
12.2, 0.0909385159611702, 1.81685090065002, 0.901895761489868, 12200000, 0, 0, 0
12.3, 0.0911016166210175, 1.82623100280762, 0.931122362613678, 12300000, 0, 0, 0
12.4, 0.0920297279953957, 1.82601022720337, 0.905534982681274, 12400000, 0, 0, 0
12.5, 0.0915853679180145, 1.80265712738037, 0.92337566614151, 12500000, 0, 0, 0
12.6, 0.092041403055191, 1.82026326656342, 0.979671061038971, 12600000, 0, 0, 0
12.7, 0.091544471681118, 1.85612034797668, 0.915197432041168, 12700000, 0, 0, 0
12.8, 0.0927308648824692, 1.76929318904877, 0.849961400032043, 12800000, 0, 0, 0
12.9, 0.0915390849113464, 1.72711539268494, 0.857144892215729, 12900000, 0, 0, 0
13, 0.0922424122691154, 1.72308719158173, 0.868089616298676, 13000000, 0, 0, 0
13.1, 0.0919004455208778, 1.74170970916748, 0.852525472640991, 13100000, 0, 0, 0
13.2, 0.0919980332255363, 1.83368992805481, 0.954951226711273, 13200000, 0, 0, 0
13.3, 0.0920375660061836, 1.79673361778259, 0.934627950191498, 13300000, 0, 0, 0
13.4, 0.0923270285129547, 1.77265059947968, 0.881710052490234, 13400000, 0, 0, 0
13.5, 0.0917701125144959, 1.65450167655945, 1.0241733789444, 13500000, 0, 0, 0
13.6, 0.0921986997127533, 1.75256621837616, 0.882259249687195, 13600000, 0, 0, 0
13.7, 0.0919278487563133, 1.73768723011017, 0.943939387798309, 13700000, 0, 0, 0
13.8, 0.0919622778892517, 1.73587584495544, 0.926478087902069, 13800010, 0, 0, 0
13.9, 0.0921005234122276, 1.70549380779266, 0.894632577896118, 13900000, 0, 0, 0
14, 0.0923977941274643, 1.69426882266998, 0.913347125053406, 14000000, 0, 0, 0
14.1, 0.0920331552624702, 1.65211129188538, 0.925544500350952, 14100000, 0, 0, 0
14.2, 0.0923664942383766, 1.78196394443512, 0.927694737911224, 14200000, 0, 0, 0
14.3, 0.0921661108732224, 1.77800345420837, 0.912422239780426, 14300000, 0, 0, 0
14.4, 0.0925022065639496, 1.64667367935181, 0.872607529163361, 14400000, 0, 0, 0
14.5, 0.092161625623703, 1.60860955715179, 0.95899772644043, 14500000, 0, 0, 0
14.6, 0.0925379246473312, 1.60104060173035, 0.962507665157318, 14600000, 0, 0, 0
14.7, 0.0922045558691025, 1.45659255981445, 0.980822861194611, 14700000, 0, 0, 0
14.8, 0.0922381058335304, 1.38441932201385, 1.08221626281738, 14800000, 0, 0, 0
14.9, 0.0924970358610153, 1.35928630828857, 1.07518744468689, 14900000, 0, 0, 0
15, 0.0923358127474785, 1.35729825496674, 1.10627901554108, 15000000, 0, 0, 0
15.1, 0.0923633128404617, 1.32250463962555, 1.19537556171417, 15100000, 0, 0, 0
15.2, 0.0922461226582527, 1.26921427249908, 1.06494271755219, 15200000, 0, 0, 0
15.3, 0.0915905088186264, 1.23221063613892, 1.18037056922913, 15300000, 0, 0, 0
15.4, 0.0917899310588837, 1.18870425224304, 1.2252209186554, 15400000, 0, 0, 0
15.5, 0.0918778106570244, 1.11797654628754, 1.22562837600708, 15500000, 0, 0, 0
15.6, 0.0920159295201302, 1.10791444778442, 1.28709042072296, 15600000, 0, 0, 0
15.7, 0.0928123965859413, 0.933157920837402, 1.27885472774506, 15700000, 0, 0, 0
15.8, 0.0922993719577789, 1.06838798522949, 1.25686693191528, 15800010, 0, 0, 0
15.9, 0.0919178426265717, 1.04335141181946, 1.30607771873474, 15900000, 0, 0, 0
16, 0.0915299504995346, 0.967774569988251, 1.43811011314392, 16000000, 0, 0, 0
16.1, 0.0920658856630325, 0.96357262134552, 1.34143257141113, 16100000, 0, 0, 0
16.2, 0.091857522726059, 1.02416455745697, 1.33441531658173, 16200000, 0, 0, 0
16.3, 0.0922271087765694, 1.01695740222931, 1.29648542404175, 16300000, 0, 0, 0
16.4, 0.0919208452105522, 0.953480005264282, 1.37639319896698, 16400000, 0, 0, 0
16.5, 0.0922205597162247, 0.933573484420776, 1.34867823123932, 16500000, 0, 0, 0
16.6, 0.092193678021431, 0.92060375213623, 1.32638168334961, 16600000, 0, 0, 0
16.7, 0.0915637984871864, 0.865033090114594, 1.29579985141754, 16700000, 0, 0, 0
16.8, 0.0915996208786964, 0.981081783771515, 1.34087073802948, 16800000, 0, 0, 0
16.9, 0.0920218452811241, 1.02824258804321, 1.36026632785797, 16900000, 0, 0, 0
17, 0.0917136892676353, 0.922743499279022, 1.38443160057068, 17000000, 0, 0, 0
17.1, 0.0919580608606339, 0.898050010204315, 1.47799146175385, 17100000, 0, 0, 0
17.2, 0.0921930000185966, 0.958235561847687, 1.39984273910522, 17200000, 0, 0, 0
17.3, 0.0920313745737076, 0.950288891792297, 1.41528177261353, 17300000, 0, 0, 0
17.4, 0.0918795689940453, 0.947700142860413, 1.39442229270935, 17400000, 0, 0, 0
17.5, 0.091991625726223, 0.924371600151062, 1.39147567749023, 17500000, 0, 0, 0
17.6, 0.0923662707209587, 0.942171454429626, 1.50607395172119, 17600000, 0, 0, 0
17.7, 0.0922151431441307, 0.938667356967926, 1.45882761478424, 17700000, 0, 0, 0
17.8, 0.0924481973052025, 0.860288560390472, 1.55602204799652, 17800010, 0, 0, 0
17.9, 0.0922019779682159, 1.0131002664566, 1.38821458816528, 17900000, 0, 0, 0
18, 0.0917988419532776, 0.943676829338074, 1.57851898670197, 18000000, 0, 0, 0
18.1, 0.0924535021185875, 0.819849252700806, 1.57568991184235, 18100000, 0, 0, 0
18.2, 0.0924292430281639, 0.87289696931839, 1.45816540718079, 18200000, 0, 0, 0
18.3, 0.0920727625489235, 0.82588928937912, 1.50321686267853, 18300000, 0, 0, 0
18.4, 0.0925720855593681, 0.915484130382538, 1.53584158420563, 18400000, 0, 0, 0
18.5, 0.091767705976963, 0.912923574447632, 1.56350553035736, 18500000, 0, 0, 0
18.6, 0.0924608409404755, 0.874238610267639, 1.57422828674316, 18600000, 0, 0, 0
18.7, 0.0921304151415825, 0.925763964653015, 1.61940836906433, 18700000, 0, 0, 0
18.8, 0.0921517089009285, 0.868099212646484, 1.62344896793365, 18800000, 0, 0, 0
18.9, 0.092632457613945, 0.930759012699127, 1.6445951461792, 18900000, 0, 0, 0
19, 0.0920795351266861, 0.89215099811554, 1.61947154998779, 19000000, 0, 0, 0
19.1, 0.0920324847102165, 0.87246972322464, 1.60917854309082, 19100000, 0, 0, 0
19.2, 0.0919792056083679, 0.96423751115799, 1.64326357841492, 19200000, 0, 0, 0
19.3, 0.0924635902047157, 0.916355073451996, 1.64259433746338, 19300000, 0, 0, 0
19.4, 0.0924078598618507, 0.787337481975555, 1.68134427070618, 19400000, 0, 0, 0
19.5, 0.0923466682434082, 0.877893686294556, 1.74905264377594, 19500000, 0, 0, 0
19.6, 0.0927182510495186, 0.9382563829422, 1.67460072040558, 19600000, 0, 0, 0
19.7, 0.0922034308314323, 0.843378603458405, 1.72088205814362, 19700000, 0, 0, 0
19.8, 0.092566542327404, 0.883337676525116, 1.78311491012573, 19800010, 0, 0, 0
19.9, 0.0923853814601898, 0.858952343463898, 1.81567227840424, 19900000, 0, 0, 0
20, 0.0924310237169266, 0.87541389465332, 1.70313990116119, 20000000, 0, 0, 0
20.1, 0.0915145874023438, 0.863253951072693, 1.67650294303894, 20100000, 0, 0, 0
20.2, 0.0918503999710083, 0.799519598484039, 1.73474168777466, 20200000, 0, 0, 0
20.3, 0.091984897851944, 0.852443039417267, 1.7363224029541, 20300000, 0, 0, 0
20.4, 0.0924232304096222, 0.938718914985657, 1.74116003513336, 20400000, 0, 0, 0
20.5, 0.0919063091278076, 0.8751420378685, 1.77055549621582, 20500000, 0, 0, 0
20.6, 0.0923697724938393, 0.815154373645782, 1.75150108337402, 20600000, 0, 0, 0
20.7, 0.0922131463885307, 0.809146404266357, 1.782870054245, 20700000, 0, 0, 0
20.8, 0.0918244570493698, 0.844603359699249, 1.74496519565582, 20800000, 0, 0, 0
20.9, 0.0919914990663528, 0.897294342517853, 1.76678371429443, 20900000, 0, 0, 0
21, 0.0918173342943192, 0.853891730308533, 1.81000936031342, 21000000, 0, 0, 0
21.1, 0.0924145132303238, 0.87308669090271, 1.76333570480347, 21100000, 0, 0, 0
21.2, 0.0918803289532661, 0.903916001319885, 1.84692680835724, 21200000, 0, 0, 0
21.3, 0.0925163105130196, 0.842591881752014, 1.83816659450531, 21300000, 0, 0, 0
21.4, 0.0922732800245285, 0.79595160484314, 1.92663979530334, 21400000, 0, 0, 0
21.5, 0.0923410058021545, 0.895443022251129, 1.82648539543152, 21500000, 0, 0, 0
21.6, 0.0919008627533913, 0.794171273708344, 1.85992336273193, 21600000, 0, 0, 0
21.7, 0.0917960703372955, 0.833725273609161, 1.89190757274628, 21700000, 0, 0, 0
21.8, 0.0922936648130417, 0.831629931926727, 1.91676330566406, 21800010, 0, 0, 0
21.9, 0.0920664668083191, 0.805778086185455, 1.90342557430267, 21900000, 0, 0, 0
22, 0.0920979678630829, 0.829024434089661, 1.89085388183594, 22000000, 0, 0, 0
22.1, 0.0920632928609848, 0.835649609565735, 1.82633435726166, 22100000, 0, 0, 0
22.2, 0.0921504199504852, 0.830762088298798, 1.99179184436798, 22200000, 0, 0, 0
22.3, 0.0917974710464478, 0.839408993721008, 1.90391933917999, 22300000, 0, 0, 0
22.4, 0.0919593423604965, 0.866687536239624, 1.87475454807281, 22400000, 0, 0, 0
22.5, 0.0919284969568253, 0.887381672859192, 1.85329377651215, 22500000, 0, 0, 0
