Meter S/N:," ""serial number""",,,,
Sensor, THERMO,SINGLE, 150W-HD,,
Date, 2/14/2014 11:57:03 AM,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted),
0.196077,0.014269756,2624370,0,0,6.68479E-08
0.196083,0.008012878,2624380,0,0,6.48871E-08
0.19609,0.010526287,2624390,0,0,4.09234E-08
0.196096,0.00311484,2624390,0,0,3.6274E-08
0.196102,0.0089765,2624400,0,0,7.18034E-08
0.196109,0.011538755,2624410,0,0,8.38867E-08
0.196115,0.016423471,2624410,0,0,9.05163E-08
0.196122,0.009438328,2624420,0,0,5.17941E-08
0.196128,0.007826371,2624430,0,0,4.32281E-08
0.196134,0.006582988,2624430,0,0,7.45233E-08
0.196141,0.01470938,2624440,0,0,6.44366E-08
0.196147,0.006769496,2624450,0,0,4.57545E-08
0.196154,0.006303228,2624450,0,0,4.65053E-08
0.19616,0.009198532,2624460,0,0,7.12175E-08
0.196166,0.014540636,2624460,0,0,1.0309E-07
0.196173,0.01491365,2624470,0,0,5.22604E-08
0.196179,0.00250647,2624480,0,0,6.04264E-08
0.196186,0.014758227,2624480,0,0,7.96769E-08
0.196192,0.011800754,2624490,0,0,6.97787E-08
0.196198,0.011458823,2624500,0,0,6.97052E-08
0.196205,0.008456944,2624500,0,0,4.16961E-08
0.196211,0.005441741,2624510,0,0,4.50551E-08
0.196218,0.007431153,2624520,0,0,4.16694E-08
0.196224,0.00645865,2624520,0,0,6.73142E-08
0.19623,0.015979407,2624530,0,0,8.68639E-08
0.196237,0.008838839,2624530,0,0,2.43775E-08
0.196243,-0.000713002,2624540,32, NegativePower,1.5245E-08
0.19625,0.005068726,2624550,0,0,5.89746E-08
0.196256,0.014589483,2624550,0,0,5.35792E-08
0.196262,0.003270262,2624560,0,0,5.94162E-08
0.196269,0.013705794,2624570,0,0,5.75758E-08
0.196275,0.005486147,2624570,0,0,5.92919E-08
0.196282,0.011454383,2624580,0,0,5.43386E-08
0.196288,0.00665848,2624590,0,0,3.57944E-08
0.196294,0.005272996,2624590,0,0,5.47535E-08
0.196301,0.010370865,2624600,0,0,4.42006E-08
0.196307,0.004362663,2624610,0,0,5.39764E-08
0.196314,0.011059165,2624610,0,0,8.52189E-08
0.19632,0.017347127,2624620,0,0,8.29808E-08
0.196326,0.010313136,2624620,0,0,8.09112E-08
0.196333,0.012804342,2624630,0,0,6.52759E-08
0.196339,0.008954296,2624640,0,0,6.34883E-08
0.196346,0.00918521,2624640,0,0,3.63939E-08
0.196352,0.002946095,2624650,0,0,6.43567E-08
0.196358,0.018506138,2624660,0,0,7.70878E-08
0.196365,0.003518939,2624660,0,0,2.39912E-08
0.196371,0.004478119,2624670,0,0,3.42688E-08
0.196378,0.005312962,2624680,0,0,5.92411E-08
0.196384,0.01443406,2624680,0,0,6.21453E-08
0.19639,0.006281024,2624690,0,0,6.4312E-08
0.196397,0.012093837,2624690,0,0,6.12927E-08
0.196403,0.008337046,2624700,0,0,5.39764E-08
0.19641,0.007084782,2624710,0,0,4.68916E-08
0.196416,0.008545756,2624710,0,0,4.12431E-08
0.196422,0.005201946,2624720,0,0,4.56924E-08
0.196429,0.007853014,2624730,0,0,3.46754E-08
0.196435,0.003705446,2624730,0,0,2.97615E-08
0.196442,0.004797847,2624740,0,0,3.09586E-08
0.196448,0.005521673,2624750,0,0,4.30949E-08
0.196454,0.00884328,2624750,0,0,7.53781E-08
0.196461,0.012693325,2624760,0,0,5.09415E-08
0.196467,0.004287172,2624770,0,0,5.08524E-08
0.196474,0.010242085,2624770,0,0,7.41217E-08
0.19648,0.014465145,2624780,0,0,5.9694E-08
0.196486,0.00543286,2624780,0,0,4.8863E-08
0.196493,0.008527994,2624790,0,0,6.03201E-08
0.196499,0.011578721,2624800,0,0,5.53907E-08
0.196506,0.004247206,2624800,0,0,3.59543E-08
0.196512,0.007737558,2624810,0,0,5.1541E-08
0.196518,0.009442768,2624820,0,0,2.9373E-08
0.196525,-0.001050492,2624820,32, NegativePower,3.58344E-08
0.196531,0.01299529,2624830,0,0,5.33858E-08
0.196538,0.002257794,2624840,0,0,2.52967E-08
0.196544,0.006174448,2624840,0,0,2.46972E-08
0.19655,0.002057964,2624850,0,0,3.29788E-08
0.196557,0.007364543,2624850,0,0,5.94143E-08
0.196563,0.012440207,2624860,0,0,7.57045E-08
0.19657,0.00918965,2624870,0,0,4.43604E-08
0.196576,0.005597164,2624870,0,0,5.66833E-08
0.196582,0.013297253,2624880,0,0,7.46165E-08
0.196589,0.00802176,2624890,0,0,3.19177E-08
0.196595,0.002617487,2624890,0,0,6.51047E-08
0.196602,0.015983848,2624900,0,0,6.96322E-08
0.196608,0.007226883,2624910,0,0,8.2328E-08
0.196614,0.020215789,2624910,0,0,1.16472E-07
0.196621,0.013061899,2624920,0,0,7.12042E-08
0.196627,0.010672828,2624930,0,0,3.59784E-08
0.196634,-0.000393275,2624930,32, NegativePower,2.67222E-08
0.19664,0.009300667,2624940,0,0,7.59202E-08
0.196646,0.016006051,2624940,0,0,1.11685E-07
0.196653,0.015903916,2624950,0,0,1.11916E-07
0.196659,0.021401443,2624960,0,0,1.08219E-07
0.196666,0.009518259,2624960,0,0,2.18064E-08
0.196672,-0.002249468,2624970,32, NegativePower,2.42293E-09
0.196678,0.003057111,2624980,0,0,3.70509E-08
0.196685,0.007528847,2624980,0,0,4.28551E-08
0.196691,0.006756174,2624990,0,0,5.41629E-08
0.196698,0.008718941,2625000,0,0,5.59639E-08
0.196704,0.00993568,2625000,0,0,5.50047E-08
0.19671,0.008399215,2625010,0,0,5.18005E-08
0.196717,0.006400922,2625010,0,0,6.79669E-08
