Meter S/N:, 0639B14R
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 4/1/2015 2:30:08 PM
Units, W
Cursor, 0.0002144, 0.0045728, 4.29385185, -2.81930709
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0004624, 1.4264075756073, 289, 0, 0, 0
0.0004640, 1.86389064788818, 290, 0, 0, 0
0.0004656, 0.847725093364716, 291, 0, 0, 0
0.0004672, 1.95819449424744, 292, 0, 0, 0
0.0004688, 0.317551761865616, 293, 0, 0, 0
0.0004704, 1.51044178009033, 294, 0, 0, 0
0.0004720, 1.38209199905396, 295, 0, 0, 0
0.0004736, 1.06863057613373, 296, 0, 0, 0
0.0004752, 0.405913978815079, 297, 0, 0, 0
0.0004768, 0.0524650737643242, 298, 0, 0, 0
0.0004784, 1.68716621398926, 299, 0, 0, 0
0.0004800, 1.51044178009033, 300, 0, 0, 0
0.0004816, 1.64298510551453, 301, 0, 0, 0
0.0004832, 2.26840353012085, 302, 0, 0, 0
0.0004848, 2.75587487220764, 303, 0, 0, 0
0.0004864, 0.761673927307129, 304, 0, 0, 0
0.0004880, 1.33371734619141, 305, 0, 0, 0
0.0004896, 1.024449467659, 306, 0, 0, 0
0.0004912, 2.40135025978088, 307, 0, 0, 0
0.0004928, 0.894620716571808, 308, 0, 0, 0
0.0004944, 2.09114146232605, 309, 0, 0, 0
0.0004960, 1.64298510551453, 310, 0, 0, 0
0.0004975, 2.12897753715515, 311, 0, 0, 0
0.0004992, 142.404006958008, 312, 0, 0, 0
0.0005008, 3058.89086914063, 313, 1, TriggerDetected, 0
0.0005024, 3090.22216796875, 314, 0, 0, 0
0.0005040, 2082.92895507813, 315, 0, 0, 0
0.0005056, 4249.39208984375, 316, 0, 0, 0
0.0005072, 6311.6337890625, 317, 0, 0, 0
0.0005088, 5256.7666015625, 318, 0, 0, 0
0.0005104, 4524.5078125, 319, 0, 0, 0
0.0005120, 5927.2578125, 320, 0, 0, 0
0.0005136, 5983.72119140625, 321, 0, 0, 0
0.0005151, 4039.5947265625, 322, 0, 0, 0
0.0005168, 4258.3603515625, 323, 0, 0, 0
0.0005184, 6570.97705078125, 324, 0, 0, 0
0.0005199, 6242.69921875, 325, 0, 0, 0
0.0005216, 4958.47802734375, 326, 0, 0, 0
0.0005232, 4964.15380859375, 327, 0, 0, 0
0.0005248, 6638.9716796875, 328, 0, 0, 0
0.0005264, 6390.49658203125, 329, 0, 0, 0
0.0005280, 4859.70947265625, 330, 0, 0, 0
0.0005296, 4619.7177734375, 331, 0, 0, 0
0.0005312, 6595.14404296875, 332, 0, 0, 0
0.0005328, 6517.2783203125, 333, 0, 0, 0
0.0005344, 5655.27880859375, 334, 0, 0, 0
0.0005360, 5573.5, 335, 0, 0, 0
0.0005375, 6439.14013671875, 336, 0, 0, 0
0.0005392, 6626.5166015625, 337, 0, 0, 0
0.0005408, 5796.751953125, 338, 0, 0, 0
0.0005424, 5736.0419921875, 339, 0, 0, 0
0.0005440, 6880.642578125, 340, 0, 0, 0
0.0005456, 6413.9130859375, 341, 0, 0, 0
0.0005472, 5277.9931640625, 342, 0, 0, 0
0.0005488, 5504.40185546875, 343, 0, 0, 0
0.0005504, 6538.5498046875, 344, 0, 0, 0
0.0005520, 6553.392578125, 345, 0, 0, 0
0.0005536, 5647.41455078125, 346, 0, 0, 0
0.0005552, 5425.58154296875, 347, 0, 0, 0
0.0005568, 6709.38671875, 348, 0, 0, 0
0.0005584, 6572.390625, 349, 0, 0, 0
0.0005599, 6090.6083984375, 350, 0, 0, 0
0.0005616, 6323.69482421875, 351, 0, 0, 0
0.0005632, 6537.796875, 352, 0, 0, 0
0.0005648, 6049.0654296875, 353, 0, 0, 0
0.0005664, 5905.38818359375, 354, 0, 0, 0
0.0005680, 6099.91748046875, 355, 0, 0, 0
0.0005696, 6410.6552734375, 356, 0, 0, 0
0.0005712, 6473.7783203125, 357, 0, 0, 0
0.0005728, 6450.80419921875, 358, 0, 0, 0
0.0005744, 6335.5400390625, 359, 0, 0, 0
0.0005760, 5972.37451171875, 360, 0, 0, 0
0.0005776, 6184.1708984375, 361, 0, 0, 0
0.0005792, 6730.83544921875, 362, 0, 0, 0
0.0005808, 6579.50390625, 363, 0, 0, 0
0.0005823, 6170.38671875, 364, 0, 0, 0
0.0005840, 6075.88330078125, 365, 0, 0, 0
0.0005856, 6363.85595703125, 366, 0, 0, 0
0.0005872, 6557.4130859375, 367, 0, 0, 0
0.0005888, 6245.0478515625, 368, 0, 0, 0
0.0005904, 6283.6669921875, 369, 0, 0, 0
