Meter S/N:, 0639B14R
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 4/1/2015 3:23:09 PM
Units, W
Cursor, 1.4396416, 1.4475264, 4158.82080078, 1.26271355
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
1.4470144, 6.17103385925293, 1447014, 32, UnderRange, 0
1.4470656, 5.93226146697998, 1447065, 32, UnderRange, 0
1.4471168, 5.97754621505737, 1447117, 32, UnderRange, 0
1.4471680, 5.80464220046997, 1447168, 32, UnderRange, 0
1.4472192, 5.53019094467163, 1447219, 32, UnderRange, 0
1.4472704, 5.90893316268921, 1447270, 32, UnderRange, 0
1.4473216, 5.29004573822021, 1447321, 32, UnderRange, 0
1.4473727, 5.44511079788208, 1447373, 32, UnderRange, 0
1.4474240, 5.92951679229736, 1447424, 32, UnderRange, 0
1.4474752, 5.59605884552002, 1447475, 32, UnderRange, 0
1.4475264, 5.51097917556763, 1447526, 32, UnderRange, 0
